name,officePhone,Officefax,Website,Email,lastUpdated,companyType,hospitalOwnedorAffiliated,hoursOfOperation,UCAOACertifiedUrgentCareIssued,certificationValidThrough,aboutTheCompany,companyCategories,city,state,country,zip,Address1,Address2,url
INTEGRA URGENT CARE LAS COLINAS,972 861-5200 (Phone),"
972 861-5205 (Fax)",http://www.integrauc.com/,amit.gupta@parkerurgentcare.net,12/22/2017,Member Clinic,,,,,,,Irving,Texas,United States,75063-7546,7447 N MacArthur Blvd,Ste 190,http://ucaoa.site-ym.com/members/?id=15419865
PHYSICIANS IMMEDIATE CARE DEKALB/SYCAMORE,815 754-1122 (Phone),"
815 787-3678 (Fax)",http://www.physiciansimmediatecare.com/,csusedik@visitphysicians.com,12/22/2017,Member Clinic,,,2016 - Q4,2019 - Q4,,,Sycamore,Illinois,United States,60178-3153,2496 Dekalb Ave,,http://ucaoa.site-ym.com/members/?id=15419867
FASTMED URGENT CARE BOONE,828 265-7146 (Phone),"
828 265-7150 (Fax)",http://www.fastmed.com/,a.gonder@fastmed.com,1/4/2018,Member Clinic,,,2011 - Q4,2014 - Q4,,,Boone,North Carolina,United States,28607-5667,178 Highway 105 Ext,Ste 101,http://ucaoa.site-ym.com/members/?id=15419869
OCEAN STATE URGENT CARE OF CUMBERLAND,401 642-2072 (Phone),"
401 305-3958 (Fax)",http://www.oceanstateurgentcare.com/,peter@osuc.net,2/1/2018,Member Clinic,,"as of 12/19/17: M-F: 8am - 8pm, S/S: 8am - 5pm",,,,,Cumberland,Rhode Island,United States,02864-3833,2140 Mendon Rd,Ste 101,http://ucaoa.site-ym.com/members/?id=15419958
PEACHTREE IMMEDIATE CARE MABLETON,770 732-0720 (Phone),"
770 732-0730 (Fax)",https://www.peachtreemed.com/,bmiller@crhhealthcare.com,12/22/2017,Member Clinic,,,,,,,Mableton,Georgia,United States,30126-7794,1025 Veterans Memorial Hwy SE,Ste 720,http://ucaoa.site-ym.com/members/?id=15420052
ADVANCED URGENT CARE NORTHGLENN,303 480-3627 (Phone),,http://advurgent.com/,kate@advurgent.com,12/22/2017,Member Clinic,,,,,,,Northglenn,Colorado,United States,80234-3890,1050 W 104th Ave,Unit B,http://ucaoa.site-ym.com/members/?id=15420081
OCEAN STATE URGENT CARE OF SMITHFIELD,401 757-6160 (Phone),"
401 349-0840 (Fax)",http://www.oceanstateurgentcare.com/,peter@osuc.net,2/1/2018,Member Clinic,,"as of 12/19/17: M-F: 8am - 9pm, S/S: 8am - 8pm",,,,,Smithfield,Rhode Island,United States,02917-2408,400 Putnam Pike,Ste A,http://ucaoa.site-ym.com/members/?id=15420137
FASTMED URGENT CARE CARY TEN TEN RD,919 362-5871 (Phone),"
919 362-5874 (Fax)",http://www.fastmed.com/,c.vanootegham@fastmed.com,1/4/2018,Member Clinic,,"as of 9/24/17: M-F: 8am - 8pm, S/S: 8am - 4pm",2011 - Q4,2014 - Q4,,,Cary,North Carolina,United States,27518-6101,3420 Ten Ten Rd,Ste 318,http://ucaoa.site-ym.com/members/?id=15420203
FASTMED URGENT CARE FUQUAY,919 552-1733 (Phone),"
919 552-1495 (Fax)",http://www.fastmed.com/,j.pendola@fastmed.com,2/26/2018,Member Clinic,,,2011 - Q4,2014 - Q4,,,Fuquay Varina,North Carolina,United States,27526-8901,1418 N Main St,,http://ucaoa.site-ym.com/members/?id=15420209
OCHSNER URGENT CARE KENNER,504 461-9660 (Phone),"
504 461-8450 (Fax)",https://www.ochsner.org/,becky@ejafterhours.com,12/22/2017,Member Clinic,Y,,2010 - Q2,2016 - Q3,,,Kenner,Louisiana,United States,70065-3725,3417 Williams Blvd,,http://ucaoa.site-ym.com/members/?id=15420238
WESTERN NEW YORK IMMEDIATE CARE AMHERST,716 564-2273 (Phone),,http://www.wnyimmediatecare.com/,Joe_Chow@teamhealth.com,12/22/2017,Member Clinic,,,,,,,Amherst,New York,United States,14228-3518,2099 Niagara Falls Blvd,,http://ucaoa.site-ym.com/members/?id=15420242
WESTERN NEW YORK IMMEDIATE CAREBUFFALO,716 847-2273 (Phone),,http://www.wnyimmediatecare.com/,Joe_Chow@teamhealth.com,12/22/2017,Member Clinic,,,,,,,Buffalo,New York,United States,14216-1712,2497 Delaware Ave,,http://ucaoa.site-ym.com/members/?id=15420243
WESTERN NEW YORK IMMEDIATE CARE CHEEKTOWAGA,716 684-2273 (Phone),,http://www.wnyimmediatecare.com/,Joe_Chow@teamhealth.com,12/22/2017,Member Clinic,,,,,,,Depew,New York,United States,14043-4435,5014 Transit Rd,,http://ucaoa.site-ym.com/members/?id=15420244
WESTERN NEW YORK IMMEDIATE CARE ORCHARD PARK,716 204-4500 (Phone),"
716 204-4501 (Fax)",http://www.wnyimmediatecare.com/,Joe_Chow@teamhealth.com,12/22/2017,Member Clinic,,,,,,,Buffalo,New York,United States,14224-4658,3050 Orchard Park Rd,Ste 1,http://ucaoa.site-ym.com/members/?id=15420245
NEXTCARE URGENT CARE NORTH MESA,480 844-7400 (Phone),,http://www.nextcare.com/,davidpatterson@nextcare.com,12/22/2017,Member Clinic,,,,,,,Mesa,Arizona,United States,85203-2525,535 E McKellips Rd,Ste 101,http://ucaoa.site-ym.com/members/?id=15420285
NEXTCARE URGENT CARE APACHE JUNCTION,480 985-0172 (Phone),,http://www.nextcare.com/,davidpatterson@nextcare.com,12/22/2017,Member Clinic,,,,,,,Apache Junction,Arizona,United States,85120-7653,2080 W Southern Ave,Bldg A1,http://ucaoa.site-ym.com/members/?id=15420286
NEXTCARE URGENT CARE: ARVADA,303 463-5430 (Phone),,http://www.nextcare.com/,kellismith@nextcare.com,12/22/2017,Member Clinic,,,,,,,Arvada,Colorado,United States,80002-3716,7380 W. 52nd Ave,Ste I,http://ucaoa.site-ym.com/members/?id=15420287
NEXTCARE URGENT CARE: AURORA,303 617-1604 (Phone),,http://www.nextcare.com/,kellismith@nextcare.com,12/22/2017,Member Clinic,,,,,,,Aurora,Colorado,United States,80013-3504,18890 E Hampden Ave,,http://ucaoa.site-ym.com/members/?id=15420290
NEXTCARE URGENT CARE: AUSTIN,512 288-3627 (Phone),,http://www.nextcare.com/,randygiles@nextcare.com,12/22/2017,Member Clinic,,,,,,,Austin,Texas,United States,78749-1973,6001 W William Cannon Dr,Ste 302,http://ucaoa.site-ym.com/members/?id=15420291
NEXTCARE URGENT CARE AVONDALE,623 547-0522 (Phone),,http://www.nextcare.com/,audaewilliams@nextcare.com,12/22/2017,Member Clinic,,,,,,,Avondale,Arizona,United States,85392-6437,13075 W McDowell Rd,Ste D106,http://ucaoa.site-ym.com/members/?id=15420292
NEXTCARE URGENT CARE: BROOMFIELD,303 439-4544 (Phone),,http://www.nextcare.com/,kellismith@nextcare.com,12/22/2017,Member Clinic,,,,,,,Broomfield,Colorado,United States,80020-5666,4590 W 121st Ave,,http://ucaoa.site-ym.com/members/?id=15420293
NEXTCARE URGENT CARE: BURLINGTON,336 222-8888 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,,,,,Burlington,North Carolina,United States,27215-5630,1713 S Church St,,http://ucaoa.site-ym.com/members/?id=15420294
NEXTCARE URGENT CARE: CARY,919 481-0277 (Phone),,http://www.nextcare.com/,scottwalter@nextcare.com,12/22/2017,Member Clinic,,,,,,,Cary,North Carolina,United States,27511-4523,1110 Kildaire Farm Rd,,http://ucaoa.site-ym.com/members/?id=15420295
