url,name,nameWithCity,HoursOfOperation,AcceptedInsurances,Certification,acceptedPaymentType,about,telephone,services,streetAddress,city,state,zipCode
http://www.urgentcarelocations.com/nd/wahpeton/5958-sanford-health-in-wahpeton,Sanford Health in Wahpeton,"Sanford Health in Wahpeton in Wahpeton, ND","{'Monday': '8:00 am - 5:00 pm', 'Friday': '8:00 am - 5:00 pm', 'Thursday': '8:00 am - 5:00 pm', 'Wednesday': '8:00 am - 5:00 pm', 'Tuesday': '8:00 am - 5:00 pm', 'Sunday': 'UNKNOWN', 'Saturday': '9:00 am - 12:00 pm'}",[],[],,"Sanford Health in Wahpeton, formally referred to as Sanford Health, is a primary care office in Wahpeton, ND located at 332 2nd Ave. N, . They are open 6 days a week seeing walk-in patients in Wahpeton and offer extended hours. Sanford Health in Wahpeton appears to be individually owned and operated and not part of a larger network of primary care clinics. There are, however, 0 walk-in clinics within 20 miles of Wahpeton in cities including .Primary care offices like Sanford Health in Wahpeton are most commonly staffed by family or internal medicine physicians with a clinical support team designed to be a patients medical home. All patients should have a primary care physician to treat routine medical concerns and manage chronic conditions. In the event your primary care physician is not open or if you are unable to obtain an appointment, the following are the closest urgent care centers to this clinic:If you are suffering from a true medical emergency, go to the emergency room in Wahpeton, ND or call 911 immediately.  ",701-642-7000,{},332 2nd Ave. N,Wahpeton,ND,58075-4528
http://www.urgentcarelocations.com/ne/bellevue/474-chi-health-urgent-care,CHI Health Urgent Care,"CHI Health Urgent Care in Bellevue, NE","{'Monday': '8:00 am - 8:00 pm', 'Friday': '8:00 am - 8:00 pm', 'Thursday': '8:00 am - 8:00 pm', 'Wednesday': '8:00 am - 8:00 pm', 'Tuesday': '8:00 am - 8:00 pm', 'Sunday': '8:00 am - 8:00 pm', 'Saturday': '8:00 am - 8:00 pm'}",[],[],,"CHI Health Urgent Care, formally referred to as Alegent Health Express Care, is an urgent care center in Bellevue, NE located at 3308 Samson Way, Suite 102. They are open 7 days a week seeing walk-in patients in Bellevue. CHI Health Urgent Care appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 2 walk-in clinics within 20 miles of Bellevue in cities including La Vista and Papillion. Additionally, they have partnered with CHI Health to better serve the patients in the Bellevue area.As an urgent care center, CHI Health Urgent Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Bellevue, NE or call 911 immediately.  ",402-291-3373,{},"3308 Samson Way
Suite 102",Bellevue,NE,68123-3235
http://www.urgentcarelocations.com/ne/bellevue/889-bellevue-urgent-care,Bellevue Urgent Care,"Bellevue Urgent Care in Bellevue, NE","{'Monday': '8:00 am - 8:00 pm', 'Friday': '8:00 am - 8:00 pm', 'Thursday': '8:00 am - 8:00 pm', 'Wednesday': '8:00 am - 8:00 pm', 'Tuesday': '8:00 am - 8:00 pm', 'Sunday': '8:00 am - 4:00 pm', 'Saturday': '8:00 am - 8:00 pm'}",[],"['UCAOA Accredited', 'UCAOA Certified']",,,402-291-8701,{},1307 Harlan Drive,Bellevue,NE,68005-3699
http://www.urgentcarelocations.com/ne/fremont/10901-medexpress-urgent-care-fremont,MedExpress Urgent Care - Fremont,"MedExpress Urgent Care - Fremont in Fremont, NE","{'Monday': '8:00 am - 8:00 pm', 'Friday': '8:00 am - 8:00 pm', 'Thursday': '8:00 am - 8:00 pm', 'Wednesday': '8:00 am - 8:00 pm', 'Tuesday': '8:00 am - 8:00 pm', 'Sunday': '8:00 am - 8:00 pm', 'Saturday': '8:00 am - 8:00 pm'}",[],[],,"MedExpress Urgent Care - Fremont is an urgent care center in Fremont, NE located at 1240 E. 23rd St., . They are open 7 days a week seeing walk-in patients in Fremont. MedExpress Urgent Care - Fremont is part of the larger MedExpress Urgent Care network of urgent care clinics with a total of 203 locations, 0 of which are within 20 miles of Fremont, in cities including .As an urgent care center, MedExpress Urgent Care - Fremont provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Fremont, NE or call 911 immediately.  lessLearn more about MedExpress Urgent Care",402-721-8668,{},1240 E. 23rd St.,Fremont,NE,68025
http://www.urgentcarelocations.com/ne/fremont/7023-urgent-care-of-fremont,Urgent Care of Fremont,"Urgent Care of Fremont in Fremont, NE",{'N/A': 'N/A'},[],[],,"Urgent Care of Fremont in Fremont, NE located at 415 E 23Rd. St., . The hours of operation for this clinic are not known, however most walk-in clinics are open daily and for extended hours. Urgent Care of Fremont appears to be individually owned and operated and not part of a larger network of clinics. There are, however, 1 walk-in clinics within 20 miles of Fremont in cities including Wahoo.",402-727-7191,{},415 E 23Rd. St.,Fremont,NE,68025-2393
http://www.urgentcarelocations.com/ne/gretna/9656-methodist-physicians-clinic,Methodist Physicians Clinic,"Methodist Physicians Clinic in Gretna, NE","{'Monday': '6:00 pm - 10:00 pm', 'Friday': '6:00 pm - 10:00 pm', 'Thursday': '6:00 pm - 10:00 pm', 'Wednesday': '6:00 pm - 10:00 pm', 'Tuesday': '6:00 pm - 10:00 pm', 'Sunday': '12:00 pm - 6:00 pm', 'Saturday': '12:00 pm - 6:00 pm'}",[],[],,"Methodist Physicians Clinic is an urgent care center in Gretna, NE located at 11946 Standing Stone Dr., . They are open 7 days a week seeing walk-in patients in Gretna. Methodist Physicians Clinic appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 2 walk-in clinics within 20 miles of Gretna in cities including Papillion and La Vista. Additionally, they have partnered with Methodist Health System to better serve the patients in the Gretna area.As an urgent care center, Methodist Physicians Clinic provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Gretna, NE or call 911 immediately.  ",N/A,{},11946 Standing Stone Dr.,Gretna,NE,68028
http://www.urgentcarelocations.com/ne/la-vista/9599-chi-health-urgent-care,CHI Health Urgent Care,"CHI Health Urgent Care in La Vista, NE","{'Monday': '8:00 am - 8:00 pm', 'Friday': '8:00 am - 8:00 pm', 'Thursday': '8:00 am - 8:00 pm', 'Wednesday': '8:00 am - 8:00 pm', 'Tuesday': '8:00 am - 8:00 pm', 'Sunday': '8:00 am - 8:00 pm', 'Saturday': '8:00 am - 8:00 pm'}",[],[],,"CHI Health Urgent Care is an urgent care center in La Vista, NE located at 8248 S 96th Street, Suite 100. They are open 7 days a week seeing walk-in patients in La Vista. CHI Health Urgent Care appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 2 walk-in clinics within 20 miles of La Vista in cities including Papillion and Omaha. Additionally, they have partnered with CHI Health to better serve the patients in the La Vista area.As an urgent care center, CHI Health Urgent Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in La Vista, NE or call 911 immediately.  ",402-717-9580,{},"8248 S 96th Street
Suite 100",La Vista,NE,68128
http://www.urgentcarelocations.com/ne/lincoln/1558-concentra-urgent-care,Concentra Urgent Care,"Concentra Urgent Care in Lincoln, NE","{'Monday': '8:00 am - 5:00 pm', 'Friday': '8:00 am - 5:00 pm', 'Thursday': '8:00 am - 5:00 pm', 'Wednesday': '8:00 am - 5:00 pm', 'Tuesday': '8:00 am - 5:00 pm', 'Sunday': 'UNKNOWN', 'Saturday': 'UNKNOWN'}",[],[],,"Concentra Urgent Care is an urgent care center in Lincoln, NE located at 4900 N 26th Street, Suite 104. They are open 5 days a week seeing walk-in patients in Lincoln and offer extended hours. Concentra Urgent Care is part of the larger Concentra Urgent Care network of urgent care clinics with a total of 300 locations, 0 of which are within 20 miles of Lincoln, in cities including .As an urgent care center, Concentra Urgent Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Lincoln, NE or call 911 immediately.  lessLearn more about Concentra Urgent Care",402-465-0010,{},"4900 N 26th Street
Suite 104",Lincoln,NE,68521
http://www.urgentcarelocations.com/ne/lincoln/2328-express-care,Express Care,"Express Care in Lincoln, NE","{'Monday': '8:00 am - 6:00 pm', 'Friday': '8:00 am - 6:00 pm', 'Thursday': '8:00 am - 6:00 pm', 'Wednesday': '8:00 am - 6:00 pm', 'Tuesday': '8:00 am - 6:00 pm', 'Sunday': '10:00 am - 4:00 pm', 'Saturday': '10:00 am - 4:00 pm'}",[],[],,"Express Care is an urgent care center in Lincoln, NE located at 3740 N 27 Street, Suite 1. They are open 7 days a week seeing walk-in patients in Lincoln. Express Care appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 0 walk-in clinics within 20 miles of Lincoln in cities including .As an urgent care center, Express Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Lincoln, NE or call 911 immediately.  ",402-420-2094,{},"3740 N 27 Street
Suite 1",Lincoln,NE,68512-3632
http://www.urgentcarelocations.com/ne/lincoln/2354-express-care-west-lincoln-family-medicine,Express Care/West Lincoln Family Medicine,"Express Care/West Lincoln Family Medicine in Lincoln, NE",{'N/A': 'N/A'},[],[],,"Express Care/West Lincoln Family Medicine in Lincoln, NE located at 201 Capitol Beach Blvd., . The hours of operation for this clinic are not known, however most walk-in clinics are open daily and for extended hours. Express Care/West Lincoln Family Medicine appears to be individually owned and operated and not part of a larger network of clinics. There are, however, 0 walk-in clinics within 20 miles of Lincoln in cities including .",402-435-0228,{},201 Capitol Beach Blvd.,Lincoln,NE,68528-1600
http://www.urgentcarelocations.com/ne/lincoln/3591-linc-care-north,Linc Care North,"Linc Care North in Lincoln, NE","{'Monday': '9:00 am - 9:00 pm', 'Friday': '9:00 am - 9:00 pm', 'Thursday': '9:00 am - 9:00 pm', 'Wednesday': '9:00 am - 9:00 pm', 'Tuesday': '9:00 am - 9:00 pm', 'Sunday': '12:00 pm - 9:00 pm', 'Saturday': '9:00 am - 9:00 pm'}",[],[],,"Linc Care North is an urgent care center in Lincoln, NE located at 5000 N 26th St., . They are open 7 days a week seeing walk-in patients in Lincoln. Linc Care North appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 0 walk-in clinics within 20 miles of Lincoln in cities including .As an urgent care center, Linc Care North provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Lincoln, NE or call 911 immediately.  ",402-435-2060,{},5000 N 26th St.,Lincoln,NE,68521-4749
http://www.urgentcarelocations.com/ne/lincoln/3592-linc-care-urgent-care,Linc Care Urgent Care,"Linc Care Urgent Care in Lincoln, NE","{'Monday': '9:00 am - 9:00 pm', 'Friday': '9:00 am - 9:00 pm', 'Thursday': '9:00 am - 9:00 pm', 'Wednesday': '9:00 am - 9:00 pm', 'Tuesday': '9:00 am - 9:00 pm', 'Sunday': '12:00 pm - 9:00 pm', 'Saturday': '9:00 am - 9:00 pm'}",[],[],,"Linc Care Urgent Care is an urgent care center in Lincoln, NE located at 1601 N 86th St., Suite 200. They are open 7 days a week seeing walk-in patients in Lincoln. Linc Care Urgent Care appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 0 walk-in clinics within 20 miles of Lincoln in cities including .As an urgent care center, Linc Care Urgent Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Lincoln, NE or call 911 immediately.  ",402-327-7510,{},"1601 N 86th St.
Suite 200",Lincoln,NE,68505-3714
http://www.urgentcarelocations.com/ne/lincoln/3593-linc-care-urgent-care,Linc Care Urgent Care,"Linc Care Urgent Care in Lincoln, NE","{'Monday': '9:00 am - 9:00 pm', 'Friday': '9:00 am - 9:00 pm', 'Thursday': '9:00 am - 9:00 pm', 'Wednesday': '9:00 am - 9:00 pm', 'Tuesday': '9:00 am - 9:00 pm', 'Sunday': '12:00 pm - 9:00 pm', 'Saturday': '9:00 am - 9:00 pm'}",[],[],,"Linc Care Urgent Care is an urgent care center in Lincoln, NE located at 3910 Village Dr., . They are open 7 days a week seeing walk-in patients in Lincoln. Linc Care Urgent Care appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 0 walk-in clinics within 20 miles of Lincoln in cities including .As an urgent care center, Linc Care Urgent Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Lincoln, NE or call 911 immediately.  ",402-434-7383,{},3910 Village Dr.,Lincoln,NE,68516-4783
http://www.urgentcarelocations.com/ne/lincoln/4751-nebraska-urgent-care,Nebraska Urgent Care,"Nebraska Urgent Care in Lincoln, NE","{'Monday': '9:00 am - 8:00 pm', 'Friday': '9:00 am - 8:00 pm', 'Thursday': '9:00 am - 8:00 pm', 'Wednesday': '9:00 am - 8:00 pm', 'Tuesday': '9:00 am - 8:00 pm', 'Sunday': '9:00 am - 1:00 pm', 'Saturday': '9:00 am - 1:00 pm'}",[],[],,"Nebraska Urgent Care is an urgent care center in Lincoln, NE located at 4720 W Huntington Ave., Suite J. They are open 7 days a week seeing walk-in patients in Lincoln. Nebraska Urgent Care appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 0 walk-in clinics within 20 miles of Lincoln in cities including .As an urgent care center, Nebraska Urgent Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Lincoln, NE or call 911 immediately.  ",402-470-6055,{},"4720 W Huntington Ave.
Suite J",Lincoln,NE,68524-1528
http://www.urgentcarelocations.com/ne/lincoln/6921-bryan-urgent-care,Bryan Urgent Care,"Bryan Urgent Care in Lincoln, NE","{'Monday': '8:00 am - 8:00 pm', 'Friday': '8:00 am - 8:00 pm', 'Thursday': '8:00 am - 8:00 pm', 'Wednesday': '8:00 am - 8:00 pm', 'Tuesday': '8:00 am - 8:00 pm', 'Sunday': '9:00 am - 5:00 pm', 'Saturday': '9:00 am - 5:00 pm'}",[],[],,"Bryan Urgent Care, formally referred to as Urgent Care At Lifepointe, is an urgent care center in Lincoln, NE located at 7501 S 27th St., . They are open 7 days a week seeing walk-in patients in Lincoln. Bryan Urgent Care appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 0 walk-in clinics within 20 miles of Lincoln in cities including .As an urgent care center, Bryan Urgent Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Lincoln, NE or call 911 immediately.  ",402-481-6343,{},7501 S 27th St.,Lincoln,NE,68512-4802
http://www.urgentcarelocations.com/ne/lincoln/6956-urgent-care-clinic-of-lincoln,Urgent Care Clinic of Lincoln,"Urgent Care Clinic of Lincoln in Lincoln, NE","{'Monday': '8:00 am - 8:00 pm', 'Friday': '8:00 am - 8:00 pm', 'Thursday': '8:00 am - 8:00 pm', 'Wednesday': '8:00 am - 8:00 pm', 'Tuesday': '8:00 am - 8:00 pm', 'Sunday': '10:00 am - 6:00 pm', 'Saturday': '10:00 am - 6:00 pm'}",[],['UCAOA Certified'],,"Urgent Care Clinic of Lincoln is an urgent care center in Lincoln, NE located at 4210 Pioneer Woods Dr., Suite A. They are open 7 days a week seeing walk-in patients in Lincoln. Urgent Care Clinic of Lincoln appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 0 walk-in clinics within 20 miles of Lincoln in cities including .As an urgent care center, Urgent Care Clinic of Lincoln provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Lincoln, NE or call 911 immediately.  ",402-488-4321,{},"4210 Pioneer Woods Dr.
Suite A",Lincoln,NE,68506-7561
