url,HoursOfOperation,AcceptedInsurances,Certification,acceptedPaymentType,about,telephone,services,streetAddress,city,state,zipCode
http://www.urgentcarelocations.com/ak/anchorage/10608-healthy-smiles-dental,{'N/A': 'N/A'},[],[],,"Healthy Smiles Dental in Anchorage, AK located at 12501 Old Seward Hwy, Suite C. The hours of operation for this clinic are not known, however most walk-in clinics are open daily and for extended hours. Healthy Smiles Dental appears to be individually owned and operated and not part of a larger network of clinics. There are, however, 2 walk-in clinics within 20 miles of Anchorage in cities including Eagle River.",907-341-3139,{},"12501 Old Seward Hwy
Suite C",Anchorage,AK,99515
http://www.urgentcarelocations.com/ak/anchorage/11690-mountain-view-urgent-care,"{'Monday': '11:00 am - 7:00 pm', 'Saturday': '9:00 am - 5:00 pm', 'Thursday': '11:00 am - 7:00 pm', 'Tuesday': '11:00 am - 7:00 pm', 'Friday': '11:00 am - 7:00 pm', 'Sunday': '9:00 am - 5:00 pm', 'Wednesday': '11:00 am - 7:00 pm'}","['Premera BlueCross', 'TRICARE', ""Workers' Compensation""]",[],,,907-868-1105,"{'PEDIATRIC ILLNESSES': 'Acne,Athlete’s foot,Childhood infectious diseases,Cold sores,Eczema / dry skin,Impetigo,Minor burns and rashes,Minor skin infections,Minor wound care,Ringworm,Skin Conditions,Skin lesions/rashes,Swimmer’s itch,Wart removal', 'VACCINATIONS': 'Tdap (diphtheria, tetanus, pertussis)', 'MEDICATIONS': 'Medication Dispensing', 'OCCUPATIONAL HEALTH': 'DOT/DOE for commercial drivers', 'SCREENINGS': 'Blood pressure,TB skin,Urinalysis', 'DIAGNOSTICS': 'Influenza (flu),Microscopy,Pregnancy tests,Sexually transmitted disease cultures,Strep throat screens,X-ray,On-site lab tests,Ultrasound', 'ADULT ILLNESSES': 'Abdominal pain,Allergic reactions,Asthma,Gastritis or indigestion,Gout,Headaches – migraine and tension,Hypertension,Sexually transmitted diseases (STDs)', 'EXAMS': 'DOT (Department of Transportation) medical certification exams,Routine physical exams,School and sports exams', 'COMMON INJURIES': 'Acute fracture (non-displaced),Auto accidents – whiplash,Back pain or strains,Knee, shoulder, ankle sprains,Complex non-plastic lacerations,Cuts / minor lacerations,Minor trauma and lacerations', 'COMMON ILLNESSES': ""Allergies,Bladder infections,Bronchitis,Colds,Dehydration,Diarrhea,Ear infections,Ear wax removal,Eye infections / sties,Fingernail / toenail injuries,Hemorrhoids,Influenza (flu),Insect / bee stings,Laryngitis,Respiratory infections,Sinus infections,Skin conditions and infections,Splinter removal,Sprains,Stomach flu (gastroenteritis),Strep / sore throat,Swimmer's ear,Urinary tract infections""}",3521 Mountain View Drive,Anchorage,AK,99508
http://www.urgentcarelocations.com/ak/anchorage/1883-dimond-medical-clinic,{'N/A': 'N/A'},[],[],,"Dimond Medical Clinic in Anchorage, AK located at 300 E Dimond Blvd., . The hours of operation for this clinic are not known, however most walk-in clinics are open daily and for extended hours. Dimond Medical Clinic appears to be individually owned and operated and not part of a larger network of clinics. There are, however, 2 walk-in clinics within 20 miles of Anchorage in cities including Eagle River.",N/A,{},300 E Dimond Blvd.,Anchorage,AK,99515-1908
http://www.urgentcarelocations.com/ak/anchorage/2719-firstcare-occ-med-med-clinic,"{'Monday': '7:00 am - 11:00 pm', 'Saturday': '7:00 am - 11:00 pm', 'Thursday': '7:00 am - 11:00 pm', 'Tuesday': '7:00 am - 11:00 pm', 'Friday': '7:00 am - 11:00 pm', 'Sunday': '7:00 am - 11:00 pm', 'Wednesday': '7:00 am - 11:00 pm'}",[],[],,"FirstCare Occ Med Med Clinic is an urgent care center in Anchorage, AK located at 3710 Woodland Dr., . They are open 7 days a week seeing walk-in patients in Anchorage. FirstCare Occ Med Med Clinic appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 2 walk-in clinics within 20 miles of Anchorage in cities including Eagle River.As an urgent care center, FirstCare Occ Med Med Clinic provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Anchorage, AK or call 911 immediately.  ",907-248-1122,{},3710 Woodland Dr.,Anchorage,AK,99517-2555
http://www.urgentcarelocations.com/ak/anchorage/2722-firstcare-walk-in,"{'Monday': '7:00 am - 11:00 pm', 'Saturday': '7:00 am - 11:00 pm', 'Thursday': '7:00 am - 11:00 pm', 'Tuesday': '7:00 am - 11:00 pm', 'Friday': '7:00 am - 11:00 pm', 'Sunday': '7:00 am - 11:00 pm', 'Wednesday': '7:00 am - 11:00 pm'}",[],[],,"FirstCare Walk In is an urgent care center in Anchorage, AK located at 1301 Huffman Rd., Suite 100. They are open 7 days a week seeing walk-in patients in Anchorage. FirstCare Walk In appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 2 walk-in clinics within 20 miles of Anchorage in cities including Eagle River.As an urgent care center, FirstCare Walk In provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Anchorage, AK or call 911 immediately.  ",907-345-1199,{},"1301 Huffman Rd.
Suite 100",Anchorage,AK,99515-3568
http://www.urgentcarelocations.com/ak/anchorage/3247-immediate-care-inc,{'N/A': 'N/A'},[],[],,"Immediate Care Inc in Anchorage, AK located at 6311 Debarr Rd., Suite L2. The hours of operation for this clinic are not known, however most walk-in clinics are open daily and for extended hours. Immediate Care Inc appears to be individually owned and operated and not part of a larger network of clinics. There are, however, 2 walk-in clinics within 20 miles of Anchorage in cities including Eagle River.",N/A,{},"6311 Debarr Rd.
Suite L2",Anchorage,AK,99504-1775
http://www.urgentcarelocations.com/ak/anchorage/4018-medical-park-family-care-inc,"{'Monday': '7:30 am - 6:00 pm', 'Saturday': '9:00 am - 4:00 pm', 'Thursday': '7:30 am - 6:00 pm', 'Tuesday': '7:30 am - 6:00 pm', 'Friday': '7:30 am - 6:00 pm', 'Sunday': 'UNKNOWN', 'Wednesday': '7:30 am - 6:00 pm'}",[],[],,"Medical Park Family Care Inc. is an urgent care center in Anchorage, AK located at 2211 E Northern Lights Blvd., Suite 101. They are open 6 days a week seeing walk-in patients in Anchorage. Medical Park Family Care Inc. appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 2 walk-in clinics within 20 miles of Anchorage in cities including Eagle River.As an urgent care center, Medical Park Family Care Inc. provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Anchorage, AK or call 911 immediately.  ",907-279-8486,{},"2211 E Northern Lights Blvd.
Suite 101",Anchorage,AK,99508-4192
http://www.urgentcarelocations.com/ak/anchorage/4728-myhealth-clinic,{'N/A': 'N/A'},[],[],,"MyHealth Clinic in Anchorage, AK located at 2105 E 88th Ave., . The hours of operation for this clinic are not known, however most walk-in clinics are open daily and for extended hours. MyHealth Clinic appears to be individually owned and operated and not part of a larger network of clinics. There are, however, 2 walk-in clinics within 20 miles of Anchorage in cities including Eagle River.",N/A,{},2105 E 88th Ave.,Anchorage,AK,99507-3805
http://www.urgentcarelocations.com/ak/anchorage/523-alpine-urgent-care,"{'Monday': '9:00 am - 9:00 pm', 'Saturday': '9:00 am - 9:00 pm', 'Thursday': '9:00 am - 9:00 pm', 'Tuesday': '9:00 am - 9:00 pm', 'Friday': '9:00 am - 9:00 pm', 'Sunday': '9:00 am - 9:00 pm', 'Wednesday': '9:00 am - 9:00 pm'}",[],[],,"Alpine Urgent Care is an urgent care center in Anchorage, AK located at 1310 E Dimond Blvd., Suite 1. They are open 7 days a week seeing walk-in patients in Anchorage. Alpine Urgent Care appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 2 walk-in clinics within 20 miles of Anchorage in cities including Eagle River.As an urgent care center, Alpine Urgent Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Anchorage, AK or call 911 immediately.  ",907-344-2400,{},"1310 E Dimond Blvd.
Suite 1",Anchorage,AK,99515-2031
http://www.urgentcarelocations.com/ak/anchorage/7005-urgent-care-medical-clinic,"{'Monday': '8:00 pm - 6:00 pm', 'Saturday': '11:00 pm - 4:00 pm', 'Thursday': '8:00 pm - 6:00 pm', 'Tuesday': '8:00 pm - 6:00 pm', 'Friday': '8:00 pm - 6:00 pm', 'Sunday': '11:00 pm - 4:00 pm', 'Wednesday': '8:00 pm - 6:00 pm'}",[],[],,"Urgent Care Medical Clinic is an urgent care center in Anchorage, AK located at 9150 Jewel Lake Rd., Suite B. They are open 7 days a week seeing walk-in patients in Anchorage. Urgent Care Medical Clinic appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 2 walk-in clinics within 20 miles of Anchorage in cities including Eagle River.As an urgent care center, Urgent Care Medical Clinic provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Anchorage, AK or call 911 immediately.  ",907-248-8561,{},"9150 Jewel Lake Rd.
Suite B",Anchorage,AK,99502-5381
