url,HoursOfOperation,AcceptedInsurances,Certification,acceptedPaymentType,about,telephone,services,streetAddress,city,state,zipCode
http://www.urgentcarelocations.com/ny/new-york/7324-medhattan-immediate-medical-care,"{'Monday': '8:00 am - 8:00 pm', 'Friday': '8:00 am - 8:00 pm', 'Thursday': '8:00 am - 8:00 pm', 'Tuesday': '8:00 am - 8:00 pm', 'Wednesday': '8:00 am - 8:00 pm', 'Sunday': '9:00 am - 4:00 pm', 'Saturday': '9:00 am - 6:00 pm'}","['Aetna', 'BlueCross BlueShield', 'Cigna', 'Emblem', 'GHI', 'HIP', 'MagnaCare', 'Medicare', 'Multiplan PHCS', ""Workers' Compensation""]",['UCAOA Certified'],"American Express, Cash, Discover, MasterCard, and Visa","Medhattan Immediate Medical Care is an urgent care center in New York, NY located at 106 Liberty St, Lower Level. They are open 7 days a week seeing walk-in patients in New York. Medhattan Immediate Medical Care appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 2 walk-in clinics within 20 miles of New York in cities including NY and Hoboken.As an urgent care center, Medhattan Immediate Medical Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in New York, NY or call 911 immediately.  less",646-461-2544,{},"106 Liberty St
Lower Level",New York,NY,10006
http://www.urgentcarelocations.com/ny/new-york/7811-emergency-medical-care,"{'Monday': '12:00 am - 12:00 am', 'Friday': '12:00 am - 12:00 am', 'Thursday': '12:00 am - 12:00 am', 'Tuesday': '12:00 am - 12:00 am', 'Wednesday': '12:00 am - 12:00 am', 'Sunday': '12:00 am - 12:00 am', 'Saturday': '12:00 am - 12:00 am'}",[],"['UCAOA Accredited', 'UCAOA Certified']",,"Emergency Medical Care is an urgent care center in New York, NY located at 200 Chambers Street, Frnt 1. The hours of operation for this clinic are not known, however most walk-in clinics are open daily and for extended hours. Emergency Medical Care appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 2 walk-in clinics within 20 miles of New York in cities including NY and Hoboken.As an urgent care center, Emergency Medical Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in New York, NY or call 911 immediately.  less",212-962-6600,{},"200 Chambers Street
Frnt 1",New York,NY,10007
http://www.urgentcarelocations.com/ny/new-york/9773-walgreens-healthcare-clinic,"{'Monday': '8:00 am - 6:00 pm', 'Friday': '8:00 am - 6:00 pm', 'Thursday': 'UNKNOWN', 'Tuesday': 'UNKNOWN', 'Wednesday': '8:00 am - 6:00 pm', 'Sunday': 'UNKNOWN', 'Saturday': 'UNKNOWN'}",[],[],,"Walgreens Healthcare Clinic is a retail clinic operating inside of Walgreens in New York, NY located at 40 Wall St, . They are open 3 days a week seeing walk-in patients in New York. Walgreens Healthcare Clinic is part of the larger Healthcare Clinic at Walgreens network of clinics with a total of 352 locations, 3 of which are within 20 miles of New York, in cities including .As a retail clinic, Walgreens Healthcare Clinic is generally staffed by a nurse practitioner and provides routine medical care including the treatment of allergies, asthma, mild burns, cold and flu symptoms, ear and sinus infections, insect and animal bites, stomach viruses, mild skin rashes and some other non-life threatening injuries, illnesses and conditions. Many retail clinics are also equipped to treat chronic conditions and diseases. If you are suffering from a true medical emergency, go to the emergency room in New York, NY or call 911 immediately.  lessLearn more about Healthcare Clinic at Walgreens",212-742-8454,{},40 Wall St,New York,NY,10005-1304
http://www.urgentcarelocations.com/ny/new-york/7634-dr-walk-in-medical-care,{'N/A': 'N/A'},[],[],,"DR Walk-In Medical Care is a retail clinic operating inside of Duane Reade in New York, NY located at 40 Wall Street, . The hours of operation for this clinic are not known, however most walk-in clinics are open daily and for extended hours. DR Walk-In Medical Care is part of the larger Mount Sinai Health System network of clinics with a total of 15 locations, 14 of which are within 20 miles of New York, in cities including Brooklyn. Additionally, they have partnered with Mount Sinai Health System to better serve the patients in the New York area.As a retail clinic, DR Walk-In Medical Care is generally staffed by a nurse practitioner and provides routine medical care including the treatment of allergies, asthma, mild burns, cold and flu symptoms, ear and sinus infections, insect and animal bites, stomach viruses, mild skin rashes and some other non-life threatening injuries, illnesses and conditions. Many retail clinics are also equipped to treat chronic conditions and diseases. If you are suffering from a true medical emergency, go to the emergency room in New York, NY or call 911 immediately.  lessLearn more about Mount Sinai Health System",212-785-0284,{},40 Wall Street,New York,NY,10005
http://www.urgentcarelocations.com/ny/new-york/1278-chin-clinic,"{'Monday': '10:00 am - 6:00 pm', 'Friday': '10:00 am - 6:00 pm', 'Thursday': 'UNKNOWN', 'Tuesday': 'UNKNOWN', 'Wednesday': '10:00 am - 6:00 pm', 'Sunday': '10:00 am - 4:00 pm', 'Saturday': '10:00 am - 4:00 pm'}",[],[],,"Chin Clinic is a primary care office in New York, NY located at 86 bowery st. apt 6, . They are open 5 days a week seeing walk-in patients in New York. Chin Clinic appears to be individually owned and operated and not part of a larger network of primary care clinics. There are, however, 2 walk-in clinics within 20 miles of New York in cities including NY and Hoboken.Primary care offices like Chin Clinic are most commonly staffed by family or internal medicine physicians with a clinical support team designed to be a patients medical home. All patients should have a primary care physician to treat routine medical concerns and manage chronic conditions. In the event your primary care physician is not open or if you are unable to obtain an appointment, the following are the closest urgent care centers to this clinic:If you are suffering from a true medical emergency, go to the emergency room in New York, NY or call 911 immediately.  less",212-219-9175,{},86 bowery st. apt 6,New York,NY,10013-4941
http://www.urgentcarelocations.com/ny/new-york/9792-pager,{'N/A': 'N/A'},[],[],,"Pager in New York, NY located at 580 Broadway, Suite 608. The hours of operation for this clinic are not known, however most walk-in clinics are open daily and for extended hours. Pager appears to be individually owned and operated and not part of a larger network of clinics. There are, however, 2 walk-in clinics within 20 miles of New York in cities including NY and Hoboken.",646-887-2347,{},"580 Broadway
Suite 608",New York,NY,10012
http://www.urgentcarelocations.com/ny/new-york/2078-dr-walk-in,{'N/A': 'N/A'},[],[],,"Dr. Walk-In in New York, NY located at 1350 Broadway Frnt. 3, . The hours of operation for this clinic are not known, however most walk-in clinics are open daily and for extended hours. Dr. Walk-In appears to be individually owned and operated and not part of a larger network of clinics. There are, however, 2 walk-in clinics within 20 miles of New York in cities including NY and Hoboken.",212-868-1122,{},1350 Broadway Frnt. 3,New York,NY,10018-0999
http://www.urgentcarelocations.com/ny/brooklyn/11585-mount-sinai-urgent-care-dumbo,"{'Monday': '8:30 am - 8:30 pm', 'Friday': '8:30 am - 8:30 pm', 'Thursday': '8:30 am - 8:30 pm', 'Tuesday': '8:30 am - 8:30 pm', 'Wednesday': '8:30 am - 8:30 pm', 'Sunday': '9:00 am - 5:00 pm', 'Saturday': '9:00 am - 5:00 pm'}",[],[],,"Mount Sinai Urgent Care Dumbo is an urgent care center in Brooklyn, NY located at 10 York Street, 2nd Floor. They are open 7 days a week seeing walk-in patients in Brooklyn. Mount Sinai Urgent Care Dumbo is part of the larger Mount Sinai Health System network of urgent care clinics with a total of 15 locations, 14 of which are within 20 miles of Brooklyn, in cities including New York. Additionally, they have partnered with Mount Sinai Health System to better serve the patients in the Brooklyn area.As an urgent care center, Mount Sinai Urgent Care Dumbo provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Brooklyn, NY or call 911 immediately.  lessLearn more about Mount Sinai Health System",929-210-6110,{},"10 York Street
2nd Floor",Brooklyn,NY,11201
http://www.urgentcarelocations.com/ny/new-york/10485-gohealth-urgent-care,"{'Monday': '8:00 am - 8:00 pm', 'Friday': '8:00 am - 8:00 pm', 'Thursday': '8:00 am - 8:00 pm', 'Tuesday': '8:00 am - 8:00 pm', 'Wednesday': '8:00 am - 8:00 pm', 'Sunday': '9:00 am - 5:00 pm', 'Saturday': '9:00 am - 5:00 pm'}",[],[],,"GoHealth Urgent Care is an urgent care center in New York, NY located at 41 E 8th St, . They are open 7 days a week seeing walk-in patients in New York. GoHealth Urgent Care is part of the larger GoHealth Urgent Care network of urgent care clinics with a total of 68 locations, 16 of which are within 20 miles of New York, in cities including Astoria and Ridgewood. Additionally, they have partnered with Northwell Health to better serve the patients in the New York area.As an urgent care center, GoHealth Urgent Care provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in New York, NY or call 911 immediately.  lessLearn more about GoHealth Urgent Care",212-897-1991,{},41 E 8th St,New York,NY,10003
http://www.urgentcarelocations.com/ny/brooklyn/11248-mount-sinai-doctors-urgent-care-brooklyn-heights,"{'Monday': '8:30 am - 8:30 pm', 'Friday': '8:30 am - 8:30 pm', 'Thursday': '8:30 am - 8:30 pm', 'Tuesday': '8:30 am - 8:30 pm', 'Wednesday': '8:30 am - 8:30 pm', 'Sunday': '9:00 am - 5:00 pm', 'Saturday': '9:00 am - 5:00 pm'}",[],[],,"Mount Sinai Doctors Urgent Care Brooklyn Heights is an urgent care center in Brooklyn, NY located at 300 Cadman Plaza West, 18th Floor. They are open 7 days a week seeing walk-in patients in Brooklyn. Mount Sinai Doctors Urgent Care Brooklyn Heights is part of the larger Mount Sinai Health System network of urgent care clinics with a total of 15 locations, 14 of which are within 20 miles of Brooklyn, in cities including New York. Additionally, they have partnered with Mount Sinai Health System to better serve the patients in the Brooklyn area.As an urgent care center, Mount Sinai Doctors Urgent Care Brooklyn Heights provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Brooklyn, NY or call 911 immediately.  lessLearn more about Mount Sinai Health System",929-210-6300,{},"300 Cadman Plaza West
18th Floor",Brooklyn,NY,11201
