salary,educationLevel,careerLevel,description,jobLocation,jobTitle,jobUrl,jobType
,,,"

DATA ARCHITECT - SQL Server, OLTP and OLAP systems, ETL processes - FTE / FULLTIME PERM Position SummarySeeking an talented and motivated Data Architect and visionary senior leader to integrate, enhance, and revolutionize our diverse Claims data assets to support our mission of reimagining and reinventing Claims decision-making for our clients. Reporting to the Head of the Analytics Center of Excellence, the VP of Data Warehousing/Claims Data Officer will be responsible for the vision and strategy for all data management activities across the Claims businesses . From establishing the overall direction, architecture, and technology for our future state data architecture, to developing and managing processes to improve institutional Claims data through standards, integration, protection, and governance, this role has uniquely broad responsibilities and scope. This is a challenging role with a great deal of autonomy. It is a growth role for the right individual and you will be working with a fun, passionate and dedicated team.  A team that has the drive and mind set of a start up with the backing of a major corporation. Responsibilities Develop data models using handwritten SQL and ETL tools. Develop both the logical and physical data models in conjunction with business requirements Communicate with business areas and other developers  Provide support and fix issues in the packages Design, build and deploy effective SSIS package RequirementsAdvanced SQL including performance tuning, SQL Server Preferred (3+ years)Deep understanding of OLTP and OLAP systems (3+ years)Dimensional Modeling experience in at least one of the following methods - Kimball, Data Vault or Inmon (3+ years)Experience designing and building complete ETL processes (2+ years)Deep understanding of data analytics for the purpose of supporting business and data science effortsExperience on Big Data platforms, such as AWS, is a big plusExperience using Pentaho a big plusExperience using BI tools is a big plus Nice to have:Insurance industry domain knowledge – particularly autoCPCUIDMAPMP This position is a full time employee position with our client. This position is located in Jersey City, NJ Area. INTERESTED?  Please send your resume to:  Jacqueline Tagorda at jtagorda@galentechsolutions.comHelp. Who We AreGalen Technology Solutions is a full service technology consulting firm.  With offices in New York City and Florham Park, NJ, Galen has positioned itself as a trusted leader in providing technology services to Fortune 100 companies in all major markets.Since 1998, our staff has been providing a diverse offering of technology staffing and solution services to leading financial, healthcare, manufacturing, management consulting, and technology firms in the New York metropolitan area.  Galen’s overall success can be directly attributed to our people and principles.  Our creed of hard work, integrity and professionalism has established us as a leader and primary supplier in the industry. We have an experienced staff that has expertise in technology staffing/ placement and end-to-end technology solutions. We are fully dedicated to identifying your specific needs and developing the necessary strategies to effectively recruit, hire and deliver top talent.  Our established relationships and proven methodologies have provided us with a strong track record of delivering results for our clients.   http://www.galentechsolutions.com /"" target=""_blank""> http://www.galentechsolutions.com "" target=""_blank"">http://www.galentechsolutions.com               ","Jersey City, NJ","Data Architect - SQL, ETL, Data Models at Galen Technology Solutions Inc
",https://job-openings.monster.com/Data-Architect-SQL-ETL-Data-Models-Jersey-City-NJ-US-Galen-Technology-Solutions-Inc/11/194252111,Full Time
,Doctorate,Student (Undergraduate/Graduate),"

Software Engineer (Internship) The clients Digital team is responsible for building innovative platforms and developing new products that make banking and payment tasks simpler and more personalized for their customers, as well as deepen customer engagement and loyalty with more relevant offers and services. They function like a fintech start-up in their brand-new offices that inspire collaboration, transparency, agile development, and a fun working environment.  The Digital Intelligence teams mission is to deeply personalize the user experience of their millions of customers through the use of the firms’ massive data, machine learning and proprietary data platforms. Whether its building a financial graph of consumers and small businesses, optimizing ad targeting on their website, mobile app and paid media sites, recommending the most relevant hotels or detecting fraudulent behavior, they work at the intersection of statistics, machine learning, and engineering to tackle some of the most challenging and interesting problems you will find in digital banking, commerce and payment.  Our client is seeking Data Science Interns to join their team this summer. The ideal candidate is passionate about applying machine learning and AI to solve real-world problems. Additional Skills:-Candidates must currently be pursuing a PhD degree in a discipline such as Computer Science, Statistics, Physics, Applied Math, Engineering, Operations Research or Computational Sciences. -Strong coursework/academic research in statistics, machine learning, and computational methods with a history of conference and journal publications. -Some academic experience of applying machine learning to build recommendation systems, predictive models or fraud/anomaly detection. -We are also seeking interns who have a strong interest in large-scale distributed algorithm development on Spark, TensorFlow and similar platforms.  While knowledge of Hadoop and Spark are not necessary, candidates can expect to learn about these frameworks as a part of their internship.-Candidates must be curious, have a research mindset and enjoy working on open-ended problems.Additional Roles and Responsibilities:-Proficient in application development skills for more than one technology.-Working proficiency in development toolset to design, develop, test, deploy, maintain and improve        software.-Demonstrates understanding of Agile methodologies with ability to work in at least one of the common framework.-Demonstrates understanding of techniques such as Continuous Integration, Continuous Delivery, Test Driven Development, Cloud Development, application resiliency and security.-Working proficiency in one or more general purpose programming languages.-Working proficiency in a portion of software engineering disciplines and demonstrates understanding of overall software skills including business analysis, development, testing and deployment.             ",,"Software Engineer Internship at Confidential company
",https://job-openings.monster.com/Software-Engineer-Internship-New-York-NY-US/11/193874474,"Full Time, Intern"
,Bachelor's Degree,Manager (Manager/Supervisor of Staff),"

Purpose of the Position The Manager, Finance & Analytics will join a fast-pace team that provides financial and operational analysis to support key strategic, operational and financial decisions across the organization. The team works closely with senior executives and the Board of Directors on key priorities facing the organization and serves as advisors to UMA’s senior leaders. The team has a strong focus on identifying opportunities to drive growth and generate efficiencies.     A successful candidate will have a strong combination of analytical skills, effective storytelling and problem solving, will be focused on results, a self-starter and have a demonstrated success in using analytics to drive decisions. In addition, a successful candidate will be able to work effectively in a fast-paced, changing, entrepreneurial and data driven environment, and have experience in successfully managing projects and junior analysts. This position requires significant interactions with senior executives on an individual and group basis to support the decision making, planning and execution process. Strong communication and organization skills are required to work effectively across departments and across levels (from junior analysts to President).    Primary Duties and ResponsibilitiesDesign and conduct data analysis to support the identification, evaluation, and resolution of strategic opportunitiesIdentify creative ways to solve problems that create valueEngage with cross functional stakeholders to gather data and develop insights; help deliver insights and recommendations to senior executivesPrepare analytical reports to communicate findings and insights to internal teams—to drive action and quantifiable business outcomesManage the process of measuring, tracking and reporting results of initiatives that are underwayLiaise with all business units on financial and operating mattersProvide support with the budgeting and planning processIdentify opportunities for process improvements to drive efficiencies and simplificationManage, mentor and develop junior analysts on the teamParticipate in additional projects as they ariseDemonstrates knowledge of, and carefully follows all applicable federal and state compliance requirements and regulations including those prescribed by the Department of Education, accrediting agencies, CIE, and internal UMA policies and procedures.Effectively communicates compliance requirements to students and other staff as appropriate and quickly escalates any compliance concerns to the Compliance department.    Education/Experience/SkillsGraduate degree with a specialization in analytics, statistics, data science, business or similar from a top tier University (required)5+ years’ experience in roles of increasing independence and responsibility, with a minimum of 3 years’ experience in financial, operational modeling, data analytics/reporting, corporate strategy, or other relevant field (required)Strong problem solving and analytical skills with proven ability to turn findings into executable plans (required)Management experience (preferred)Financial modeling and project leadership experience as well as advanced Excel and SQL (preferred)Understanding of statistical analyses and models (preferred) Associated Knowledge, Skills & Abilities Analytical thinker/mind-set with proven ability to solve complex problems and understand organizational needs in order to recommend additional or alternative ways to achieve resultsAbility and willingness to problem-solve independently and take ownership of projectsExcellent oral and written communications and interpersonal skills, with ability to communicate effectively with senior managementPersonal time-management skills and a bias for actionDetail and deadline oriented, diligent, with ability to understand the big pictureAbility to tackle multiple projects simultaneously, prioritize and adjust priorities as business needs shiftDemonstrated leadership skillsAbility to travel as needed (up to 30% of time)Flexibility to work evenings and weekends as needed Physical DemandsRequires long periods of sitting at a desk working on a computerRequires occasional bending, stooping and squattingRequires occasional lifting of up to 10 lbs.             ","New York City, NY 10011","Manager, Finance and Analytics at UMA Education, Inc.
",https://job-openings.monster.com/Manager-Finance-Analytics-New-York-City-NY-US-UMA-Education-Inc/11/194008917,"Full Time, Employee"
,,,"

   Job SnapshotJob Title: Senior Consultant - Director of Healthcare AnalyticsLocation: New York CityJob Type: Full-Time About FAIR HealthFAIR Health, Inc., an independent, national, nonprofit organization, was established in October 2009 with the mission to help bring fairness and transparency to health insurance information.  Created as a result of the New York State Attorney General’s 2009 investigation into certain insurance industry practices, FAIR Health serves the healthcare sector nationwide. FAIR Health maintains a database of billions of healthcare claims that is the foundation for a variety of standard data products, custom analytics, consulting and consumer tools. Our data products are licensed to payors, third-party administrators (TPAs), bill-review companies, self-insured employers, government agencies, consultants and others, and consist of benchmark datasets and tools that can be used to assist in the establishment of in-network and out-of-network fee schedules, provider network and benefit design, strategic planning, market research and other analyses. FAIR Health offers a separate line of data products for healthcare providers and a third product line designed for researchers and policy makers.  FAIR Health also utilizes its broad based data resources to provide statistical and strategic guidance to a broad range of clients.  We offer a suite of consumer-oriented tools and resources available on our award-winning consumer website (fairhealthconsumer.org) and mobile applications that can be licensed by other entities and organizations.  Position DescriptionSummaryThe Senior Consultant - Director of Healthcare Analytics is responsible for consulting activities associated with designing, architecting, leading, organizingand executing upon client healthcare data analytical requests as well as presentations forclient engagements. In doing so, they are called upon to ensure the quality of client deliverables and serve as the competent, effective leader of client delivery/project teams. They apply consulting, project management, data analytics and functional skills in the execution of the work.Responsibilities Collaborate with best-in-class data statisticians, data scientists and database production staff to translate customer needs into actionable results.Lead complex engagements and engage in guided data analytic services to advance client inquiries or areas of interest.Complete and manage client deliverables in accordance with established budgets, work plans, quality standards, and timeframes.Designcomplex analytics and communicate actionable and valuable results to clients in reports, documents and articulate presentations.Identify and resolve issues critical to the clients’ strategic information needs.Assist client interpretation of data and analytic reports.Developall content for client presentations.Provide technical/functional content for presentations and client requests.Meet with clients to assure project progress.Maintain and expandclient relationships through delivery of high quality data sets and analytics.Support new client opportunities and develop follow-on potential at existing clients.Provide management and support to an analytic team.Participate and support account development efforts.Knowledge and Skill Requirements Outstanding verbal and written communication skills.Expert knowledge of medical claims data (facility, professional, dental and pharmaceutical).Excellent understanding of medical coding systems (CPT, ICD, DRG, etc.).10+ years of related healthcare dataand consulting experience showing progression/promotion.Outstanding analytical capabilities.Expert ability to synthesize client requests into actionable and valuable findings.Strong understanding of healthcare insurer, provider, healthcare system and pharmaceutical use data to achieve strategic results.Strong understanding of clinical applications of claims data.Ability to apply analytic approaches (e.g. actuarial, statistical, data) to create meaningful and measureable information for clients.Strong project management skills; flexibility and ability to manage multiple assignments in a dynamic, complex and fast-paced environment.Proven record of leadership of complex analytic projects with one or more senior level stakeholders at a client.Ability to work collaboratively in a team environment and effectively with people at all levels in an organization as well as independently if necessary.Willingness to travel.Relevant advanced degree preferred.In addition to the qualifications listed above, FAIR Health places emphasis on relevant personal qualities: entrepreneurial, creative, imaginative, resourceful, independent, motivated, professional and collaborative.Interested candidates should submit their resume to resumes@fairhealth.orgHelp.Please include “Healthcare Analytics” and your last name in the subject line. FAIR Health, Inc. is an equal opportunity employer and an e-verify participant. 1            ","New York City, NY 10036","Senior Consultant - Director of Healthcare Analytics at Fair Health
",https://job-openings.monster.com/Senior-Consultant-Director-of-Healthcare-Analytics-New-York-City-NY-US-Fair-Health/11/193859375,"Full Time, Employee"
,,,"

Product Manager for Large Consumer Electronics Company in Ridgefield Park, NJ Summary:  This position will be responsible to design, deliver and drive the end-to-end Customer Device Analytics (CDA) stack that is the core for all customer engagement. Ensuring that all layers under the CDA stack are functioning as expected will be of critical importance as many internal teams/systems will depend on this core resource for their customer engagements. This is just as much a business role as it is a technical one. This position will report to the Director of Customer Device Analytics. Responsibilities:Design & deploy: CDA stack is a modular set of tools and models that always remains live. It is expected to add/edit/augment various parts of this stack to key business needs. Therefore designing and deploying new features to this ever-evolving stack will be a critical part of this job.    Product development:  While the Platform & Data Science teams will be responsible to complete their respective tasks under CDA, it is essential that this role has an understanding of a broad range of topics required to run a best-in-class user-profile. This includes the knowledge of data quality, ID mapping, DB storage, Analytical modules, Data Governance, API and Reporting. Business co-ordination: Since the CDA stack will be the ‘single source of truth’ about customers for all teams and it involves a fair bit of internal co-ordination. This person is expected to understanding business challenges, conduct feasibility study and execute tasks in a timely manner.   Must Have Skillset:3 or more years of professional experience  in marketing, trade marketing, product management, sales, retail or related field in a quantitative roleDirect experience with building and using Customer-profiles in retail/e-commerce/consumer packaged goods (CPG), Mobile or Consumer electronics industries would be preferred Succinct, proactive communication; translate data analytics into business speak Proven experience in managing multiple tasks simultaneously with a rigid determination to meet deadlines Comfortable to work with people from a broad range of backgrounds from highly technical to marketing to sales/business Experience with Hadoop, Kafka, R, Hive, Impala, Tableau highly preferred Graduate or bachelor degree in a quantitative field (e.g., math, computer science, statistics, economics, psychology, physical sciences, etc.)  Desired Skillset:Self-starter mentality with the ability to deliver results  Ability to draw from disparate sources and bring ‘fresh’ ideas to solve traditional problemsFocused on results and their implications (rather than methods/tools/process)Comfortable reprioritizing as situations change to maximize our impactOpenness to work with different cultures and working styles   Location:Ridgefield Park, NJType: 12+ months             ","Ridgefield Park, NJ 07660","Product Manager for Large Consumer Electronics Company in Ridgefield Park, NJ at OSI Engineering
",https://job-openings.monster.com/Product-Manager-for-Large-Consumer-Electronics-Company-in-Ridgefield-Park-NJ-Ridgefield-Park-NJ-US-OSI-Engineering/11/192918094,"Full Time, Temporary/Contract/Project"
,,,"

PwC/LOS OverviewPwC is a network of firms committed to delivering quality in assurance, tax and advisory services.We help resolve complex issues for our clients and identify opportunities. Learn more about us at www.pwc.com/us.At PwC, we develop leaders at all levels. The distinctive leadership framework we call the PwC Professional (http://pwc.to/pwcpro) provides our people with a road map to grow their skills and build their careers. Our approach to ongoing development shapes employees into leaders, no matter the role or job title.Are you ready to build a career in a rapidly changing world? Developing as a PwC Professional means that you will be ready- to create and capture opportunities to advance your career and fulfill your potential. To learn more, visit us at www.pwc.com/careers.What will you do if you work in Assurance at PwC?You""ll ask questions and test assumptions. You""ll help determine if companies are reporting information that investors and others can rely on. You""ll help businesses solve complex issues faced by management and boards. You""ll serve the public interest and the capital markets by conducting quality audits. Visit http://pwc.to/pwcassurance for more information on PwC""s Assurance practice.The world is quickly changing, that""s why PwC is quickly adapting. We""re capitalizing on trends that will impact corporate reporting.Our focus is on globalization, technology, sustainability and environmental reporting, population shifts and regulation. We combine skills and experience to help our clients address their challenges.Job DescriptionBoards of Directors and executive management recognize the ever increasing importance of effective risk management efforts in meeting their organization""s strategic objectives.PwC""s Risk Assurance practice has developed a holistic approach to risk that protects businesses, facilitates strategic decision making and enhances efficiency. Our holistic approach is complimented by the extensive risk and controls technical knowledge and sector-specific experience our Risk Assurance professionals possess.The end result is a risk solution that is tailored to meet the unique needs of a company.Areas where our Risk Assurance practice can bring value to an organization include:- Leveraging industry and technical expertise to assist management to address more effectively risks associated with their business- Assisting management in the assessment of project risks and controls- Enhancing internal audit functions to further align to company strategy and risk- Reducing company costs through strategic internal audit outsourcing and co-sourcing solutions- Increasing value and reducing costs of compliance-related activities- Identifying opportunities for companies to effectively mitigate risk and improve business performance- Applying the concepts of Enterprise Risk Management to help companies identify, assess, mitigate and proactively consider emerging risksThe volume of data that our clients create, consume, and store has grown at an unprecedented rate. Analytics are actively informing Board level discussions and our clients are expected to leverage data they have access to, including internal, external, structured and unstructured data sources. As a result, there has been an increased demand from the market to better understand and draw meaningful insights from their growing volumes of underlying data.The Risk Assurance Advanced Risk and Compliance Analytics (ARCA) practice helps our clients maximize the value of their digital assets by transforming data to actionable intelligence to identify, monitor, and predict areas of risk. We drive insights through the application of Data Science principles, complex internal and external data assets leveraging tools, and statistical/mathematical models and business knowledge. Our solutions are designed to help clients across all industries for both the audit and non-audit channels.For our audit clients, we deliver data-driven risk assessments, targeted analytics, continuous monitoring and automation of audit processes. For non-audit clients, we leverage advanced technologies to design, implement, optimize, and validate analytical models.Our core solution offerings include:- Strategic Risk and Trust-based Solutions: we help companies manage risk by offering analytics driven surveillance into complex, high-pressure areas (e.g. cyber/data privacy, supply chain risk analysis);- Internal Audit, Compliance & Risk Monitoring Analytics:we assist leading Internal Audit functions by offering a holistic approach to data analytics, advising and helping clients develop relevant and sustainable audit capabilities;- Accounting and Finance Change and Analytics Solutions: through advanced technology and data analytics, we assist our clients in the implementation of new accounting standards and solve large scale data driven issues rooted in accounting and finance (e.g. reporting disconnect, accounts out of balance, complex data reconciliation); and,- Audit Modernization: we embed data and technology in our audits to enhance audit quality and enable our engagement teams to provide greater insight to our clients.The ARCA team plays a role in delivering these solutions nationally across PwC.Position/Program RequirementsMinimum Year(s) of Experience: 1 year of consulting, data analysis, compliance, internal audit or risk experience.Minimum Degree Required: Bachelor""s degree in Accounting or Management Information Systems or Statistics or Mathematics or Engineering or Regulatory Compliance.Degree Preferred: MBAKnowledge Preferred: Demonstrates some knowledge and/or a proven track record of success with operating in a professional services firm or large enterprise as a consultant, auditor or business process specialist, emphasizing the following areas:- Performing on project teams and providing deliverables involving multiphase data analysis related to the evaluation of compliance, finance, and risk issues; - Evaluating business process, compliance, and risk issues; - Understanding of database concepts, including building relationships between tables, grouping data, and producing cohesive analyses;- Leveraging data manipulation and analysis technologies inclusive of Microsoft SQL Server, SQL, Oracle, or DB2;- Performing IT architecture and solution development through the use of R, Python, Java, C# or other programming environments and languages;- Leveraging data visualization tools such as Spotfire, Qlikview Microsoft BI and Tableau.Skills Preferred: Demonstrates abilities and/or a proven record of success working seamlessly in a virtual environment to complete projects with team members based in various locations, domestically, and globally.Demonstrates abilities to identify and address client needs, including developing and sustaining meaningful client relationships and understand the client""s business, and the following related areas: - Delivering professional ARCA services; - Utilizing project management skills in relation to data management projects, including developing project plans, budgets, and deliverables schedules;-Utilizing creative thinking, individual initiative, and flexibility in prioritizing and completing tasks; - Researching and analyzing pertinent client, industry, and technical matters;- Approaching clients and team members in an organized and knowledgeable manner and to deliver clear requests for information;- Exhibiting a desire and passion to become a specialist in one or more of the industry sectors recognized by PwC.            ","New York, NY 10002","Adv Risk Compliance Analytics - Financial Svs Experienced Associate at PWC
",https://job-openings.monster.com/Adv-Risk-Compliance-Analytics-Financial-Svs-Experienced-Associate-New-York-NY-US-PWC/22/55387bc3-4f30-4ca4-b8e3-86d026a4faba,
,,,"

Sales Representative - Manhattan, NY HYA04447-R1016286Join us on our exciting journey!IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions for their patients. Formed through the merger of IMS Health and Quintiles, IQVIA offers a broad range of solutions that harness advances in healthcare information, technology, analytics and human ingenuity to drive healthcare forward.Description  As the only global provider of commercial solutions, IQVIA understands what it takes to deliver nationally and internationally. Our teams help biopharma get their medicines to the people who need them. We help customers gain insight and access to their markets and ultimately demonstrate their product’s value to payers, physicians and patients. A significant part of our business is acting as the biopharma’s sales force to physicians or providing nurses to educate patients or prescribers. With the right experience, you can help deliver medical breakthroughs in the real world. We are excited to announce that at this time we are looking for a Sales Representatives to join our team of over 10,000 global field representatives in several regions making over 20 million product details annually for our pharmaceutical and biotech clients.   Sales RepresentativeThe primary objective of the sale representative is to meet established sales goals by delivering real value to our customers through designated products.  The successful representative will demonstrate the ability to target and manage their territory strategically while operating within an assigned budget.  They will also need to be a highly engaged, positive team player and show a high degree of customer focus.   IQVIA offers a friendly, progressive work atmosphere and a comprehensive benefits package including medical, dental, life insurance and vision coverage, tuition assistance, bonus plan and 401(k). We look forward to the prospect of working with you! Please apply on-line at: www.IQVIA.com  EEO Minorities/Females/Protected Veterans/DisabledQualifications Qualifications/Experience:Bachelor’s Degree from an accredited college/university (BA, BS or equivalent) requiredMinimum of 2 years of pharmaceutical sales experience primary care requiredCardiovascular sales experience a plusProven track record of achieving/exceeding sales objectivesExcellent communication and presentation skillsResults orientation/sense of urgency – ability to drive to tight timelinesCreative problem solving skillsCustomer focus (internal & external)High level of attention to detailUnderstanding of the local managed care environment and demonstrated ability to pull non-preferred product through the providersStrong business acumen – ability to judicially use access funds samples and a copay coupon program strategically in territoryCompetencies Demonstrated analytical skillsDemonstrated Business AcumenDemonstrated success in persuasion, influence and negotiation skillsDemonstrated leadership abilityDemonstrated ability to apply technical/scientific knowledgeFlexibility to learn new products over timeKnowledge of and experience with the selling processInitiative & execution-orientedPerform Company business in accordance with all regulations and Company policies and proceduresTeamwork Did You Know? We know that meaningful results require not only the right approach but also the right people. Regardless of your role, we invite you to reimagine healthcare with us. You will have the opportunity to play an important part in helping our clients drive healthcare forward and ultimately improve human health outcomes.Whatever your career goals, we are here to ensure you get there!We invite you to join IQVIA™. Primary Location: USA-New York-ManhattanOrganization: USA03 - US CommercializationJob: Medical Sales & Services            ","Manhattan, NY","Sales Representative - Manhattan, NY HYA04447 at IQVIA
",https://job-openings.monster.com/Sales-Representative-Manhattan-NY-HYA04447-Manhattan-NY-US-IQVIA/22/7f42a4ac-1c9d-46cc-9ed2-0d215ff5926a,
"130,000.00 - 150,000.00 $  /year",Doctorate,Experienced (Non-Manager),"

Job Title: Data Scientist Location: Edison, NJJob description for Data ScientistStatistics/ Maths degree will be added advantage.10-12 years of work experience or more in data science.Experience designing efficient data science workflows and database architecture for deploying and productionizing data science  (look out for projects like recommender systems, chatbots, image analytics etc. as an indicator of such projects).Knowledge of statistical theories, concepts, methods, best practices, and analyses as needed to perform at the job level.Experience across multiple domains – preferably in consumer focused industries (retail, cpg, e-comm or digital) and banking.Experience in multiple functions like marketing & sales, digital, supply chain.Experience with Bayesian networks, Markovian models, graph analytics.Experience with building machine learning models for forecasting, classification, scoring, media-mix, optimization etc.Experience with AI for text, image, voice analytics.Experience with Python, R, Scala, SQL.Experience using TensorFlow, CNTK, Caffe etc.Experience developing solutions with Pandas/Scikit-learn, Spark or comparable technologies.Experience data science notebooks (Jupyter, Zeppelin or other).Experience with AWS, Azure, cloud computing technologies.Ability to develop reports, models, and simulations as needed to perform at the job level.Competency in developing and delivering multi-mode communications that convey insights with clarity.Related Industry: Analytics, Software, Machine Learning, Data Science, Data ScientistInterested candidate can apply at: jim[at]radiansys[dot]com            ","Edison, NJ","Data Scientist at Radiansys
",https://job-openings.monster.com/Data-Scientist-Edison-NJ-US-Radiansys/11/194716665,"Full Time, Employee"
,,,"

New York, NYPrincipal Data Scientist - Provider NetworkJob description:We are currently looking for an exceptional Principal Data Scientist - Healthcare to play a pivotal role in the creation and deployment of information products. The position is office based in our client""s office in New York, NY location.Position Summary:This is a unique opportunity for someone passionate about innovation in data science, machine learning, and predictive modeling techniques. The team currently uses an industry leading scalable data platform and techniques in creating solutions to challenging business problems. This role will require frequent interaction with project stakeholders and business partners at all levels of the organization. This is a fast-paced, collaborative and iterative environment requiring quick learning, agility and flexibility.Fundamental Components:Responsible for the end-to-end creation and deployment of new analytic offerings to support our internal and external clients.Being involved in all aspects of the project lifecycle from requirements gathering, hypothesis generation, ideation, programming, testing and implementation of new processes and tools.Analyzing healthcare data and using quantitative methods to create actionable and timely information.Requirements8+ years related experience with healthcare data analytics, statistical analysis, predictive modeling, machine learning techniques, and visualization tools.Experience in healthcare analysis, preferably in provider analytics.Comprehensive knowledge of healthcare insurance industry, products, systems, business strategies and products.Experience in SAS or SQL programming languages.Experience with big data technologies such as Python, R, Hadoop, Hive, and Tableau.Demonstrated ability to effectively communicate and negotiate across the business and in the external health care environment.Demonstrated ability to communicate technical ideas and results to non-technical clients in written and verbal form.PI101851775            ","New York, NY 10001","Principal Data Science - Provider Network at HopHR
",https://job-openings.monster.com/Principal-Data-Science-Provider-Network-New-York-NY-US-HopHR/22/ca0ca883-a89b-4e31-83e4-567cfc35198b,
,,,"

Our client, a Fashion-Tech company, is looking for an entrepreneurial Data Scientist with a passion for leveraging their skills to drive customer experience and engagement.  The Opportunity:Build models to transform data sets into easy to understand insights that can be used by the team and the brand and retail partnersDevelop advanced shopping & outfit recommendation systems to offer customized recommendations to our users.Work with our development team to implement the solutions you build into company’s website and iOS application.Work with executive team to ensure that company is collecting and using data to improve the user experience and maximize engagement.Manage and build the data science team as company grows.A qualified candidate has:MUST HAVE Experience in recommendation systemA Bachelors or Master’s Degree in a quantitative discipline such as physics, math, computer science, statistics or an applied field with a strong quantitative component such as Economics. Work experience in big data and analytics.Fluent in R, SQL, & Tableau.Great communication skills.A passion to learn and a desire to be part of a small team that is building something new.BrainWorks, founded in 1991, is a leading executive search firm that prides itself on delivering superior talent to drive business performance.    Our consultants are experts in their practice areas, which include CRM, Direct / Database Marketing and Customer Sciences / Advanced Analytics.  The Relationship Marketing and Decision Sciences Practice Group places top performing candidates, from mid-level managers to C-level executives, with companies spanning from entrepreneurial start-ups to Fortune 500’s.    Some of the business areas in which these candidates specialize include the following:    Statistical Modeling, Advanced Analytics, Web Analytics, Digital Analytics, Customer Analytics, and Campaign Management.  When you partner with BrainWorks you will receive industry expertise coupled with quality, speed and results guaranteeing a great hire. We look forward to having the opportunity to work with you.    http://www.brainworksinc.com.                 ","New York, NY","Director Of Data Science at Brainworks
",https://job-openings.monster.com/Director-Of-Data-Science-New-York-NY-US-Brainworks/11/194795630,Full Time
