hospitalName,streetAddress,city,state,postalCode,phoneNo
Sanford Health,20 W Centennial 84 Dr,New York Mills,MN,56567,218-385-1800
Concentra Urgent Care,6701 Bergenline Avenue,West New York,NJ,7093,201-758-9100
VA Kingston Clinic,63 Hurley Ave.,Kingston,NY,12401-2832,845-331-8322
PM Pediatrics,239 Middle Country Road,Selden,NY,11784,631-696-5437
Urgent Care of Westchester,155 White Plains Rd. Suite 101,Tarrytown,NY,10591-5563,913-372-7171
MDxpress Urgent Care,1030 W Boston Post Rd,Mamaroneck,NY,10543-3328,914-777-2273
Urgent Care Center - NY,26232 US Route 11,Evans Mills,NY,13637,315-629-1304
Wilton Family Medicine,135 North Rd.,Wilton,NY,12831,518-926-1935
Urgent Care Center,37 West Garden Street,Auburn,NY,13021,315-252-0000
Crystal Run Urgent Care - Rock Hill,61 Emerald Pl,Rock Hill,NY,12775-6049,845-794-6999
StatHealth Urgent Care,4724 Nesconset Hwy.,Port Jefferson Station,NY,11776-2580,631-474-5900
Palisades Urgent Care,256 East Route 59,Nanuet,NY,10954,845-624-2273
FirstMed: Immediate Care,19120 Northern Blvd.,Flushing,NY,11358-2829,718-224-8855
Preferred Care Gold,220 Alexander St.,Rochester,NY,14607-4002,
Emergency One Urgent Care,40 Hurley Ave. Suite 4,Kingston,NY,12401-3738,845-338-5600
MASH Urgent Care,3190 Niagara Falls Boulevard,Amherst,NY,14228,716-799-8190
Prime Columbia Greene Medical,159 Jefferson Hts. Suite D107,Catskill,NY,12414-1205,518-943-1442
VA Goshen Clinic,30 Hatfield Ln. Suite 204,Goshen,NY,10924-6768,845-294-6927
Middletown Medical Urgent Care,111 Maltese Dr.,Middletown,NY,10940-2141,845-342-4774
Springville Primary Care,27 Franklin St. Suite 1,Springville,NY,14141-1375,716-592-7400
Franklin Immediate Medical,30 Franklin Ave.,Franklin Square,NY,11010-2527,516-352-0253
Pediatric Immediate Care,1077 W Jericho Tpke.,Smithtown,NY,11787-3204,631-864-7337
Express Pediatrics Urgent Care,1989 Route 52 Suite 3,Hopewell Junction,NY,12533-3533,845-897-4500
Omni Medical Care,1400 Route 300,Newburgh,NY,12550-2995,
MinuteClinic,375 White Plains Rd,Eastchester,NY,10709,866-389-2727
Urgent Medical Care of Skaneateles,803 Genesee Street (Route 20),Skaneateles,NY,13152,315-685-9355
South Nassau Urgent Care Center at Long Beach,325 E. Bay Drive,Long Beach,NY,11561,516-870-1010
MDxpress Urgent Care,388 Tarrytown Rd.,White Plains,NY,10607,914-997-2273
Urgent Care - Amsterdam,4988 State Highway 30,Amsterdam,NY,12010-7520,518-841-3600
Five Star Urgent Care,8003 Route 11,Cicero,NY,13039,315-288-4006
Finger Lakes Medical Care Center,303 Grant Avenue,Auburn,NY,13021,315-258-7100
CityMD Urgent Care,904 West Beech Street,Long Beach,NY,11561,516-272-4353
Urgent Care Now,60 Barrett Dr. Suite A,Webster,NY,14580-2963,585-872-1003
Long Island Medical Care Services,986 Sunrise Hwy.,West Babylon,NY,11704-6111,631-587-6060
MASH Urgent Care,3245 Southwestern Blvd.,Orchard Park,NY,14127-1241,716-362-8777
Doctors Immediate Care - Bethpage,4900 Hempstead Turnpike,Farmingdale,NY,11735,516-752-7000
StatHealth Urgent Care,1850 Sunrise Highway,Bay Shore,NY,11706,631-581-5900
MASH Urgent Care,1751 Sheridan Drive,Tonawanda,NY,14223,716-844-7100
Queens Long Island Medical Group,350 S Broadway,Hicksville,NY,11801-5006,516-938-0100
PM Pediatrics,596 Jericho Turnpike,Syosset,NY,11791-4522,516-677-5437
StatHealth Urgent Care,519 W Jericho Tpke.,Smithtown,NY,11787-2619,631-360-5900
Urgent Care by Lifetime Health,800 Carter St.,Rochester,NY,14621-2604,585-338-1400
White Plains Urgent Care,10 Chester Ave,White Plains,NY,10601-5112,914-448-1000
Seton Health,1 Tallow Wood Dr. Suite 2,Clifton Park,NY,12065-2807,518-373-4444
Urgent Medical Care,10 Grandview Ave.,Catskill,NY,12414-2010,518-943-9100
Middletown Medical Urgent Care,112 Shoprite Blvd.,Ellenville,NY,12428-5624,845-647-6700
Convenient Medical Care - NY,319 Bay Rd.,Queensbury,NY,12804-1402,518-792-2181
Premier Care of Massapequa,4410 Sunrise Highway,Massapequa,NY,11758,516-998-1024
Long Island Family Medical Group & Urgent Care,160 Middle Rd.,Sayville,NY,11782-3126,631-589-4747
Statcare Urgent Medical Care,232 W. Old Country Rd.,Hicksville,NY,11801,516-938-1550
North Medical,4103 Medical Center Drive,Fayetteville,NY,13066,315-637-7800
Garden City Urgent Medical Care,520 Franklin Ave. Suite L11,Garden City,NY,11530-5813,516-279-6911
Upstate Golisano After Hours Care,4900 Broad Rd.,Syracuse,NY,13215-2265,315-492-5437
Urgent Care - Gloversville,84 East State St.,Gloversville,NY,12078,518-773-7710
Lourdes Walk-In Clinic,280 Robinson St.,Binghamton,NY,13904,607-771-7234
Quik Med Urgent Care,727 Washington St.,Watertown,NY,13601-4031,315-785-7009
Cayuga Urgent Care,101 Dates Dr.,Ithaca,NY,14850-1342,607-274-4150
Doctors Clinic,470 Montauk Hwy.,East Hampton,NY,11937-2648,
"Glendale Family Medicine, PC",7801 Myrtle Ave,Glendale,NY,11385-7439,718-386-8300
Pancare Medical PC,167 Evergreen Dr.,Westbury,NY,11590-1208,516-333-2537
Immediate Care West,5700 W Genesee St. Suite 100S,Camillus,NY,13031-3263,315-488-6393
Independent Physicians Urgent,1904 Genesee St.,Utica,NY,13502-5662,315-793-8856
ER-Dox,148 Merrick Road,Amityville,NY,11701,631-841-4102
Southern Westchester Urgent Care,1915-25 Central Park Avenue,Yonkers,NY,10710,914-793-2273
Forme Urgent Care and Wellness,7-11 S. Broadway,White Plains,NY,10591,
Premier Care of East Meadow,1919 Hempstead Turnpike,East Meadow,NY,11554,516-227-2273
First Care,363 Delaware Ave.,Delmar,NY,12054-1903,518-439-9911
Immediate Medical Care of Cny,8240 Cazenovia Rd. Suite 60,Manlius,NY,13104-8829,315-682-0909
North Shore Immediate Med Care,509 Route 112,Port Jefferson Station,NY,11776-1006,631-331-1100
Express Care Center,411 Canisteo St.,Hornell,NY,14843-2104,607-324-8100
Rochester Immediate Care,1065 Ridge Rd.,Webster,NY,14580-2952,
Medcare One Inc,215 Haddon Rd.,Syracuse,NY,13214-2020,315-446-1852
Prime Care,240 W Montauk Hwy.,Hampton Bays,NY,11946-3510,
Five Star Urgent Care,830 County Road 64 Suite 1,Elmira,NY,14903-9718,607-846-2030
Guthrie Walk In,130 Center Way,Corning,NY,14830-2255,607-936-9971
MedCare Urgent Care,1643 Westchester Ave.,Bronx,NY,10472-2916,718-328-1900
Doc Care,6823 Fresh Pond Rd.,Ridgewood,NY,11385-5240,718-497-2322
Community Care Physicians,81 Miller Rd. Suite 800,Castleton,NY,12033-4043,518-213-0399
Crystal Run Urgent Care - Middletown,155 Crystal Run Rd,Middletown,NY,10941-4028,845-703-6999
Pediatric and Adolescent Urgent Care of WNY,1800 Maple Road Suite 100,Williamsville,NY,14221,716-636-5437
Stat Medical Farmingdale,1111 Broadhollow Rd. Suite 114,Farmingdale,NY,11735-4800,631-465-9400
Lifetime Health Medical Group,1185 Sweet Home Rd.,Amherst,NY,14226-1018,716-656-4040
Convenient Care Center,10 Arrowood Dr.,Ithaca,NY,14850-1857,607-274-4150
New York Urgent Care,55 E Old Country Rd. Unit 1,Hicksville,NY,11801-4293,516-605-0120
Five Star Urgent Care,3504 West Genesee Street,Fairmount,NY,13219,315-401-0754
ProHEALTH Urgent Care,1049 Morris Park,Bronx,NY,10461,929-777-9082
Urgent-MD Family Urgent Care Center,69-40 Main Street,Queens,NY,11367,844-487-4368
Bronx Park Urgent Medical Care,2016 Bronxdale Ave. Suite 101,Bronx,NY,10462-3365,718-918-9676
Five Star Urgent Care,15 S Main St. Suite 270,Jamestown,NY,14701-6629,716-489-3144
EmUrgent Care,11835 Rt 9w,West Coxsackie,NY,12192-3605,518-731-9000
Throggs Neck Urgent Care,3231 East Tremont Avenue,Bronx,NY,10461,718-597-5800
LI Urgent Care,403 Little East Neck Road,West Babylon,NY,11704,631-716-5463
Syracuse Community Health Center,819 S Salina St.,Syracuse,NY,13202-3570,315-476-7921
Family Medical & Urgent Care,10427 Corona Ave.,Flushing,NY,11368-2979,718-592-3458
StatHealth Urgent Care,32645 Main Rd. Unit 4,Cutchogue,NY,11935-1487,631-734-5505
Urgicare of the Northeast,79 Hammond Ln. Suite 2,Plattsburgh,NY,12901-2008,518-563-5900
North Country Urgent Care,21017 NYS Route 12F,Watertown,NY,13601,
Fox Now Walk-In Healthcare,1 Foxcare Dr,Oneonta,NY,13820,607-431-5052
Health Quest Urgent Care,1100 Route 55,La Grangeville,NY,12540-5045,845-485-4455
North Shore-LIJ Medical Group Urgent Care Center at Rego Park,95-25 Queens Blvd.,Rego Park,NY,11374,718-925-6565
North Shore-LIJ Medical Group Urgent Care Center at Bethpage,4300 Hempstead Turnpike,Bethpage,NY,11714,516-396-8500
Kenmore Urgent Care,2949 Elmwood Ave Suite 104,Kenmore,NY,14217-1356,716-876-7606
Astoria Urgent Care,32-74 Steinway St.,Queens,NY,11103-4006,718-712-0202
Cortland Convenient Care,1129 Commons Ave.,Cortland,NY,13045-1651,607-758-7770
Mountain Medical Urgent Care,3372 State Route 11,Malone,NY,12953-4735,518-521-3322
Rome Clinic,227 W Dominick St.,Rome,NY,13440-5853,315-336-6230
Premier Care of Bellmore,2459 Merrick Rd.,Bellmore,NY,11710-5703,516-826-2273
Rapid Response Medical Services PLLC,600 Franklin Ave,Franklin Square,NY,11010-1112,516-872-6337
Statcare Urgent Medical Care,37-15 23rd Ave.,Astoria,NY,11105-1993,347-808-8830
Mohawk Glen Urgent Care,91 Perimeter Rd. Suite 100,Rome,NY,13441-4018,315-337-2156
Urgent Care by Lifetime Health,470 Long Pond Rd. Suite 100,Rochester,NY,14612-3057,585-227-7600
North Country Urgent Care,21017 State Route 12f,Watertown,NY,13601-1098,315-786-3436
AGHO Clinic,1531 Metropolitan Ave.,Bronx,NY,10462-6127,718-597-3111
Pediatric Immediate Care,150 Sunrise Hwy. Suite 200,Lindenhurst,NY,11757-2502,631-956-7337
Urgent Care by Lifetime Health,1850 Brighton-Henrietta Town Line Road,Rochester,NY,14623,585-338-1200
Bayshore Urgent Care,40 Bay Shore Ave.,Bay Shore,NY,11706-7929,
UMMC Urgent Care Center,16 Bank Street The Jerome Center,Batavia,NY,14020,585-815-6715
Elmira Urgent Care,360 W Water St.,Elmira,NY,14905-2520,607-732-1100
UMMC Urgent Care Center,8745 Lake Rd.,Le Roy,NY,14482-9344,585-768-4220
ER-Dox,4954 Merrick Rd.,Massapequa Park,NY,11762-3803,516-308-7255
Oswego Hospital Urgent Care,3045 EaSt. Ave.,Central Square,NY,13036-9502,315-668-5212
AccelCare Urgent Care Services,4154 McKinley Pkwy.,Blasdell,NY,14219-2995,716-202-1462
First Med Immediate Med Care,8217 Woodhaven Blvd.,Glendale,NY,11385-7860,718-805-9581
Premier Care of Great Neck,415 Northern Blvd.,Great Neck,NY,11021-4812,855-642-3362
Cambridge Medical Care,35 Gilbert St.,Cambridge,NY,12816-2618,518-677-3163
First Care Medical Office,2360 Grand Ave.,Baldwin,NY,11510-3111,516-546-2266
Watertown Urgent Care,457 Gaffney Dr,Watertown,NY,13601-1834,315-779-2273
Montefiore Urgent Care,2300 Westchester Ave.,Bronx,NY,10462,718-409-8888
Premier Care of Commack,6500 Jericho Tpke. Suite 23A,Commack,NY,11725-2909,631-858-2273
Urgent Care of Henrietta,2116 E Henrietta Rd.,Rochester,NY,14623-4518,585-486-4989
Orleans Community Health Center in Albion,14789 Route 31 (at Butts Road),Albion,NY,14411-9709,585-589-2273
ErDox,148 Merrick Rd.,Amityville,NY,11701-3439,631-841-4102
StatHealth Urgent Care,1117 Old Country Road,Plainview,NY,11803,516-938-5900
PM Pediatrics,19 Spring Valley Market Place,Spring Valley,NY,10977,845-371-5437
"Heartland Medical Services, PC",251 Richmond Hill Rd,Staten Island,NY,10314-5906,718-761-2800
Circle Urgent Care,2960 Victory Blvd,Staten Island,NY,10314-6605,718-370-2014
MinuteClinic,241 W 57th St,Manhattan,NY,10019,866-389-2727
Flower City Fast Care,1724 E Ridge Rd.,Rochester,NY,14622-2157,
North Syracuse Walk-in Medical,6271 Muskrat Bay Rd.,Brewerton,NY,13029-8622,315-452-9977
MinuteClinic,55 Cold Spring Rd,Syosset,NY,11791,866-389-2727
CityMD Urgent Care,31-11 Steinway Street,Astoria,NY,11103,718-475-2345
Urgent Care Med Associates,202 Broadway,Rensselaer,NY,12144-2703,
Urgent Care of Eastchester Road,2304 Eastchester Rd.,Bronx,NY,10469,347-913-4333
CityMD Urgent Care,184 West 237th Street,Bronx,NY,10463,212-772-3627
Rapid Medical Care,3316 Broadway PO Box 6103,Astoria,NY,11106-0103,718-204-7550
Prime Care,504 Main St. Suite B,Center Moriches,NY,11934-2232,631-878-2222
US Medical Plaza,232 Merrick Rd.,Lynbrook,NY,11563-2623,516-256-7555
Mountain Medical Urgent Care,354 Broadway,Saranac Lake,NY,12983-1146,518-897-1000
PM Pediatrics,2290 Central Park Ave.,Yonkers,NY,10710,914-337-5437
Extended Medical Services,811 Ridge Rd. Suite 101,Webster,NY,14580-2401,585-671-4660
CityMD Urgent Care,1995 Nesconset Highway,Lake Grove,NY,11755,631-731-4449
HEAL Urgent Care,73-02 Roosevelt Avenue,Queens,NY,11372,718-475-2351
Bay Street Medical Clinic,686 Bay St.,Staten Island,NY,10304-3830,718-448-7543
First Choice Walk-in Medical Care,210-12 Northern Blvd.,Bayside,NY,11361,718-229-2273
AFC Doctors Express Urgent Care,359 N. Central Ave.,Hartsdale,NY,10530,914-448-2273
Bayview Urgent Care,115-06 Beach Channel Dr Suite 101,Rockaway Park,NY,11694,718-474-7744
VA Massena Clinic,1 Hospital Dr.,Massena,NY,13662-1056,315-769-4253
Barnabas Health - Monmouth Medical Group,1270 Highway 35 South,Middletown,NY,7748,732-615-3900
Easthampton Urgent Care Center,470 Pantigo Rd.,East Hampton,NY,11937-2648,631-329-5900
Premier Care of Lynbrook,585 Merrick Rd.,Lynbrook,NY,11563-2311,516-764-2273
Urgent & Primary Care,597 Columbia Tpke.,East Greenbush,NY,12061-1602,518-463-8262
Heartland Medical,358 Arden Ave.,Staten Island,NY,10312-1210,718-227-7666
Tug Hill Urgent Care,7518 S State St. Suite 2,Lowville,NY,13367-1536,315-376-2273
Health Quest Urgent Care,1530 Route 9,Wappingers Falls,NY,12590-4131,845-416-0416
Centereach Urgent Care,18 Eastwood Blvd.,Centereach,NY,11720-2735,631-467-3600
Care One Medical,1610 Old Country Rd. Suite 9,Westbury,NY,11590-5256,516-228-4900
Medicus Immediate & Occupational Health Care,1418 Route 300,Newburgh,NY,12550-2992,845-564-1418
East Meadow Walk-In,1620 Front St.,East Meadow,NY,11554-2349,516-505-1010
PM Pediatrics,620 E Boston Post Rd.,Mamaroneck,NY,10543-3741,914-777-5437
Middletown Medical Urgent Care,78 Brookside Avenue Suite 143,Chester,NY,10918,845-469-2692
Mountain Medical Urgent Care,2 Hospital Dr.,Massena,NY,13662-1019,315-705-0700
Northeast Medical Urgent Care,4103 Medical Center Dr.,Fayetteville,NY,13066-6631,315-637-7800
Premier Care of Levittown,3276 Hempstead Tpke.,Levittown,NY,11756-1345,855-642-3362
Preferred Care,333 Andrews St.,Rochester,NY,14604-1401,
Emergency One Urgent Care,4250 Albany PoSt. Rd. Suite 1,Hyde Park,NY,12538-1766,845-229-2602
Prime Care Urgent Care,400 Patroon Creek Blvd. Suite 100,Albany,NY,12206-5014,518-445-4444
South Shore Medical Care,2982 Merrick Rd.,Bellmore,NY,11710-5760,
Premier Care of Carle Place,235 Glen Cove Road,Carle Place,NY,11514,516-877-2273
MinuteClinic,107 S Country Rd,Bellport,NY,11713,866-389-2727
Excel Urgent Care of Fishkill,1004 Main St.,Fishkill,NY,12524-3509,845-965-2240
AccelCare Urgent Care Services,3400 Monroe Ave. Suite 1,Rochester,NY,14618-4725,585-203-1056
Excel Urgent Care of East Northport,558 Larkfield Rd,East Northport,NY,11731-4204,631-486-7459
Medical Associates Acute Care,21714 Merrick Blvd.,Laurelton,NY,11413-1917,718-712-1428
The Greater Hudson Valley Family Health Center,147 Lake Street,Newburgh,NY,12550,
Pine Grove Clinic,350 Washington Ave.,Kingston,NY,12401-3702,845-334-7800
Genesee Urgent Care,35 Batavia City Centre,Batavia,NY,14020,585-250-4201
Family Care Medical Center,6144 Route 25a Suite 4,Wading River,NY,11792-2008,631-929-5900
Doc Care,1 Kings Hwy.,Hauppauge,NY,11788-4216,631-348-4900
Concentra Urgent Care,1971 Western Ave.,Albany,NY,12203,518-452-2597
Hempstead Main Medical Center,2 Main St.,Hempstead,NY,11550-4020,516-489-6600
Urgent Care-Southern Srtg,1770 Route 9 Suite 202,Clifton Park,NY,12065-2493,518-688-1369
Qlimg Urgent Care Center,640 Hawkins Ave.,Lake Ronkonkoma,NY,11779-2324,631-737-0100
