Name,Address,phone,fax,speciality,NpiNumber,lbn,dba,authOfficialName,entity,organizationSubpart,enumeratioDate,lastUpdated,identifiers
1-800MD LLC, 6408 BANNINGTON RD CHARLOTTE NC 28226-1327,704-247-9186,,Urgent Care,1720303878,1-800MD LLC,,JONATHAN MCGUIRE - (VP),Organization,No,04/01/2010,04/01/2010 - About 8 years ago,n/a
"1. JILL FURGURSON, M.D., INC.", 23656 PACIFIC COAST HWY MALIBU CA 90265-4800,310-456-7551,,Urgent Care,1184975948,"1. JILL FURGURSON, M.D., INC.",,JILL FURGURSON - (PRESIDENT),Organization,No,09/19/2012,09/19/2012 - About 6 years ago,CA License # G36815
1 WORLD URGENT CARE CENTER LBN 1 WORLD MEDICINE URGENT CARE CORP, 925 S GARFIELD AVE ALHAMBRA CA 91801-4442,626-572-3688,626-572-2788,Urgent Care,1790188290,1 WORLD MEDICINE URGENT CARE CORP,1 WORLD URGENT CARE CENTER,SAMUEL CHUNG - (CEO),Organization,No,09/29/2014,09/29/2014 - About 4 years ago,CA License # 3666881
"10 TO 10 URGENT CARE, LLC", 24420 STATE ROAD 54 LUTZ FL 33559-7303,813-949-4100,813-949-4144,Urgent Care,1932368495,"10 TO 10 URGENT CARE, LLC",,KENNETH RICE - (OWNER/PRESIDENT),Organization,No,06/09/2008,07/09/2012 - About 6 years ago,n/a
105 EXPRESS CARE OF CONROE PLLC, 3708 W DAVIS ST STE I CONROE TX 77304-1845,936-441-2021,,Urgent Care,1093218950,105 EXPRESS CARE OF CONROE PLLC,,NADEEM JAMIL - (OWNER),Organization,No,03/16/2018,03/16/2018 - About a month ago,TX License # L2349
10TH STREET AFTER HOURS URGENT CARE, 1450 10TH ST STE 200 SANTA MONICA CA 90401-2831,310-899-9793,310-576-7708,Urgent Care,1962773861,10TH STREET AFTER HOURS URGENT CARE,,LICHUAN FANG - (PRESIDENT),Organization,No,01/24/2012,02/01/2012 - About 6 years ago,n/a
1110 PENNSYLVANIA AVENUE MEDICAL PLLC, 1110 PENNSYLVANIA AVE SUITE 5 BROOKLYN NY 11207-9003,646-942-2842,,Urgent Care,1730638115,1110 PENNSYLVANIA AVENUE MEDICAL PLLC,,JACQUELINE STOREY - (PHYSICIAN),Organization,No,09/27/2016,10/05/2016 - More than a year ago,n/a
"12TH STREET URGENT CARE LBN PROGRESSIVE COMMUNITY HEALTH CENTERS, INC.", 945 N 12TH ST URGENT CARE MILWAUKEE WI 53233-1305,414-935-8000,414-344-3396,"Federally Qualified Health Center (FQHC),Family,Family Medicine,Urgent Care",1023484961,"PROGRESSIVE COMMUNITY HEALTH CENTERS, INC.",12TH STREET URGENT CARE,CANDICE COLE - (CFO),Organization,No,08/14/2015,02/01/2017 - More than a year ago,n/a
14 MILE URGENT CARE LBN REZA KAHNAMOUEI MD PLLC, 4600 E 14 MILE RD WARREN MI 48092-4369,248-508-3121,,Urgent Care,1619241775,REZA KAHNAMOUEI MD PLLC,14 MILE URGENT CARE,MOHAMMADREZA KAHNAMOUEI - (OWNER / SOLE MEMBER),Organization,No,03/06/2012,03/06/2012 - About 6 years ago,MI License # 4301090040
"1488 URGENT CARE CLINIC, LLC", 3600 FM 1488 RD STE. 200 CONROE TX 77384-3817,718-480-6700,,Urgent Care,1831510510,"1488 URGENT CARE CLINIC, LLC",,JOHN PRUDHOMME - (CHIEF OPERATING OFFICER),Organization,Yes,12/23/2013,01/04/2016 - About 2 years ago,n/a
1ST CARE LLC, 4401 N FEDERAL HWY OAKLAND PARK FL 33308-5201,954-815-6340,,Urgent Care,1578988002,1ST CARE LLC,,GREGORY PITTMAN - (OWNER),Organization,No,02/20/2014,02/20/2014 - About 4 years ago,FL License # PAX9107242
"1ST CARE MEDICAL LBN UC1, LLC", 799 LUMSDEN RD BRANDON FL 33511,813-684-1199,813-464-2733,"Urgent Care,Family Medicine",1265780910,"UC1, LLC",1ST CARE MEDICAL,JAMES LOWRANCE - (ADMINISTRATOR),Organization,Yes,08/28/2012,05/17/2013 - About 5 years ago,FL Medicaid 006639500
1ST CHOICE URGENT CARE CENTER LLC, 128 NW 137TH DRIVE NEWBERRY FL 32669,352-332-1890,352-224-6465,Urgent Care,1760825699,1ST CHOICE URGENT CARE CENTER LLC,,TRACY GOOLSBY - (CENTER MANAGER),Organization,No,04/10/2013,04/10/2013 - About 5 years ago,n/a
1ST CHOICE URGENT CARE LBN SAN JOAQUIN VALLEY HEALTH GROUP INC, 6515 PANAMA LANE SUITE 106-107 BAKERSFIELD CA 93311-9729,661-634-0955,661-634-9662,Urgent Care,1639603897,SAN JOAQUIN VALLEY HEALTH GROUP INC,1ST CHOICE URGENT CARE,NAOMI LOPEZ - (ADIMIN),Organization,No,04/14/2017,04/14/2017 - About 12 months ago,n/a
1ST STOP URGENT CARE & FAMILY PRACTICE, 2275 LAS POSAS RD CAMARILLO CA 93010-3344,805-388-3732,805-987-2904,Urgent Care,1679853204,1ST STOP URGENT CARE & FAMILY PRACTICE,,RAPHAEL ARGUETA - (MEDICAL DIRECTOR),Organization,No,08/26/2011,08/26/2011 - About 7 years ago,CA License # A98465
20 MILE URGENT CARE PLLC, 11355 S PARKER RD SUITE 103 PARKER CO 80134-7700,720-974-7210,720-851-1215,Urgent Care,1164621322,20 MILE URGENT CARE PLLC,,STEPHEN MORRISON - (PHYSICIAN-OWNER),Organization,Yes,07/17/2007,09/23/2010 - About 8 years ago,n/a
23 MILE URGENT CARE LBN SETON HEALTH CORPORATION OF SOUTHEASTERN MICHIGAN, 17900 23 MILE RD STE 101 MACOMB MI 48044-1161,586-868-9200,586-868-9201,Urgent Care,1801209978,SETON HEALTH CORPORATION OF SOUTHEASTERN MICHIGAN,23 MILE URGENT CARE,MARTHA JOHNSON - (DIRECTOR),Organization,No,06/06/2014,08/24/2017 - About 8 months ago,n/a
24 HOUR URGENT CARE OF THE DESERT, 82013 DR CARREON BLVD SUITE #G INDIO CA 92201-4832,760-775-9500,760-775-0956,"Urgent Care,Occupational Medicine",1902245343,24 HOUR URGENT CARE OF THE DESERT,,BRADLEY MUDGE - (PRESIDENT),Organization,No,06/19/2013,06/19/2013 - About 5 years ago,n/a
30 MINUTE MEDICAL LLC, 8540 ARGYLE FOREST BLVD 5 JACKSONVILLE FL 32244-6702,904-891-4894,904-641-5910,Urgent Care,1194950907,30 MINUTE MEDICAL LLC,,BIAGIO VULTAGGIO - (MANAGING MEMBER),Organization,No,05/22/2009,01/12/2010 - About 8 years ago,n/a
"3D URGENT CARES, PLLC LBN TRIAD URGENT CARE, PLLC", 3712 LAWNDALE DR SUITES C&D GREENSBORO NC 27455-3065,336-501-5556,,Urgent Care,1134558844,"TRIAD URGENT CARE, PLLC","3D URGENT CARES, PLLC",MICHAEL GHIM - (CO-OWNER),Organization,No,11/03/2013,11/03/2013 - About 4 years ago,n/a
411 URGENT CARE CENTERS INC, 2659 2679 W. OAKLAND PARK BLVD FORT LAUDERDALE FL 33311,954-733-9000,954-733-4366,Urgent Care,1063581072,411 URGENT CARE CENTERS INC,,ROBERT LEWIN - (OWNER),Organization,No,11/06/2006,08/16/2007 - About 11 years ago,n/a
"441 URGENT CARE CENTER, LLC", 17820 SE 109TH AVE STE 108 SUMMERFIELD FL 34491-8968,352-274-4307,,Urgent Care,1770726838,"441 URGENT CARE CENTER, LLC",,ADAMASTOR SANTOS - (MANAGER),Organization,No,04/18/2009,04/18/2009 - About 9 years ago,n/a
